"Tarzan of the Apes",,,,,342,,,"English",,823,,,,"Edgar Rice Burroughs","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Tarzan-of-the-Apes.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Tender is the Night",,,,,459,,,"English",,823,,,,"F. Scott Fitzgerald","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Tender-is-the-Night.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Tess of the d’Urbervilles",,,,,584,,,"English",,823,,,,"Thomas Hardy","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Tess-of-the-dUrbervilles.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Adventures of Huckleberry Finn",,,,,397,,,"English",,823,,,,"Mark Twain","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Adventures-of-Huckleberry-Finn.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Adventures of Tom Sawyer",,,,,285,,,"English",,823,,,,"Mark Twain","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Adventures-of-Tom-Sawyer.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Brothers Karamazov",,,,,1313,,,"English",,823,,,,"Fyodor Dostoevsky","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Brothers-Karamazov.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Great Gatsby ",,,,,193,,,"English",,823,,,,"Scott Fitzgerald","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Great-Gatsby.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Hound of the Baskervilles",,,,,233,,,"English",,823,,,,"Arthur Conan Doyle","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Hound-of-the-Baskervilles.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Idiot",,,,,2479,,,"English",,823,,,,"Fyodor Dostoevsky","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Idiot.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Iliad",,,,,509,,,"English",,823,,,,"Homer, Circa","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Illiad.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
