"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"FRUIT FOR AL SEASONS",,,"TORMONT PUBLICATIONS INC.",0,0,"8I",,,,,,,"JENNEN PLUMMER",,"8I91",,0,0,,,,,,,
"The Bhagavatgita",,,"ORIENT PAPERBACKS",0,0,"1D",,,,,,,"M.K.GANDHI",,"1D70",,0,20,,,,,,,
"FESTIVALS AND FAIRS",,," ",0,0,"5D",,,,,,," ",,"5D338",,0,0,,,,,,,
"SAI BABA AVATARS",,," ",1990,0,"16C",,,,,,,"VANATHY RAVINDRAN",,"16C127",,0,0,,,,,,,
"SRI AUROBINDO",,,"INNDIAN COUNCIL FOR CULTURAL RELATIONS",0,0,"18B",,,,,,," ",,"18B2",,0,15,,,,,,,
"J. KRISHNAMURTI AND THE NAMELESS EXPERIENCE",,,"MOTILAL BANARIDASS PUBLISHERS PVT. LTD.",1991,0,"14A",,,,,,,"ROKIT MEHTA",,"14A54",,0,150,,,,,,,
"EDUCATION",,,"SRI RAMAKRISHNA MATH",0,0,"17E",,,,,,,"SWAMI VIVEKANANDA",,"17E149",,0,4.5,,,,,,,
"FUNDAMENTALS OF FOODS AND NUTRITION",,,"WILEY EASTERN LIMITED",1985,0,"8F",,,,,,,"SUMATI R. MUDAMBI",,"8F80",,0,25,,,,,,,
"mussoorie and dehradun",,,"KARAM SINGH AMAR SINGH BOOK SELLERS",0,0,"5D",,,,,,," ",,"5D268",,0,12,,,,,,,
"TOURIST GUIDE MAHARASHTRA",,,"SAMARTH UDYOG PRAKASHAN",0,0,"5D",,,,,,," ",,"5D342",,0,30,,,,,,,
"UDAIPUR THE CITY OF LAKES",,,"GOYAL BROTHERS",0,0,"5D",,,,,,,"ASHOK KUMAR SINGHAL",,"5D275",,0,3,,,,,,,
"CHIERO`S PALMISTRY FOR ALL",,," ",0,0,"10C",,,,,,,"CHEIRO",,"10C73",,0,0,,,,,,,
"DISCOVER RAJASTHAN",,,"DEPARTMENT OF TOURISM",1997,0,"5D",,,,,,," ",,"5D351",,0,20,,,,,,,
"teach your self microsoft office 97 in 24 hours",,,"sams publishing",0,0,"3F",,,,,,,"greg perry",,"3F2",,0,120,,,,,,,
"CHEROS LANGUAGE OF THE HAND",,,"DIAMOND POCKET BOOK PVT. LTD.",0,0,"10C",,,,,,,"CHEIRO",,"10C72",,0,20,,,,,,,
"PURNA PURUSH",,,"HARI OM TRUST",2002,0,"15B",,,,,,,"NICHHABHAI SUKHABHAI SOLANKI",,"15B58",,0,0,,,,,,,
"GET SMART IN SEX",,,"pustak mahal",1996,0,"7A",,,,,,,"TIM WEBB",,"7A8",,0,20,,,,,,,
"GRIFFIN SAVERS OXFORD DICTIONARY",,,"OXFORD UNIVERSITY PRESS",1984,0,"6G",,,,,,," ",,"6G84",,0,0,,,,,,,
"QUICK AND EAS VEGETARIAN INDIAN TREASURES",,,"VALUE BOOKS",0,0,"8I",,,,,,,"MYURI BHARGAVA",,"8I28",,0,0,,,,,,,
"OXFORD SCHOOL ATLAS",,,"OXFORD UNIVERSITY PRESS",1999,0,"5C",,,,,,," ",,"5C33",,0,70,,,,,,,
"PROBLEMS OF TODAY SOLUTIONS FOR TOMORROOW",,,"UGANTAR CHETNA PRESS",1992,0,"14F",,,,,,,"SRIRAM SHARMA ACHARYA",,"14F584",,0,3,,,,,,,
"BE A WITNESS",,,"FULL CIRCLE",1999,0,"21B",,,,,,,"SRI SRI RAVI SHANKAR",,"21B56",,0,75,,,,,,,
"general knowledge",,,"kumar publications",2002,0,"4I",,,,,,,"sharma and khanna",,"4I43",,0,16,,,,,,,
"DISTINATION INDIA",,," ",1991,0,"5D",,,,,,," ",,"5D308",,0,0,,,,,,,
"perfect health",,,"bantam books",1996,0,"4I",,,,,,,"deepak chopra",,"4I72",,0,0,,,,,,,
"qustion are the answers",,,"manjul publishing house",2002,0,"4I",,,,,,,"allan pease",,"4I67",,0,125,,,,,,,
"OPERATE COMPUTERS YOURSELF",,,"DREAMLAND PUBLICATIONS",0,3,"3F",,,,,,,"DAVINDER SINGH MINHAS",,"3F143",,0,80,,,,,,,
"SHIVANBU GITA",,,"DR. G. K. THAKKAR",0,0,"8F",,,,,,,"DR. G. K. THAKKAR",,"8F69",,0,10,,,,,,,
"the record breaking sunil gavaskar",,,"david and charles",0,0,"3F",,,,,,,"c.d. clark",,"3F86",,0,0,,,,,,,
"THE MYSURE PALACE",,," ",1989,0,"5D",,,,,,,"M. S. NAGARAJA RAO",,"5D282",,0,10,,,,,,,
"ENGLISH THESAURUS",,,"pustak mahal",1995,0,"6G",,,,,,," ",,"6G81",,0,20,,,,,,,
"JIVAN SANDESH",,,"HARI OM TRUST",2005,0,"15B",,,,,,,"NICHHABHAI SUKHABHAI SOLANKI",,"15B57",,0,0,,,,,,,
"RAJ S AUSTRALIA AND NEW ZEALAND HOLIDAYS 2003",,,"RAJ TRAVELS",2003,0,"5D",,,,,,," ",,"5D353",,0,0,,,,,,,
"KABIR DOHAS",,," ",1992,0,"14E",,,,,,,"G. N. DAS",,"14E97",,0,20,,,,,,,
"KABIR A STUDY",,,"MEMERIAL FOUNDATION TRUST",1997,0,"14E",,,,,,,"DR. M. D. PARADKAR",,"14E52",,0,0,,,,,,,
"TAJ MUSEUM",,,"ARCHAEOLOGICAL SURVEY OF INDIA",1982,0,"5D",,,,,,,"DR. Z. A. DESAI",,"5D343",,0,3.25,,,,,,,
"NEW GEM DICTIONARY",,,"collins",1960,0,"6G",,,,,,,"ERNEST WEEKLEY",,"6G86",,0,0,,,,,,,
"IDIA ROAD ATLAS AND STATE DISTANCE GUIDE",,,"INDIAN MAP SERVICE",2002,0,"5C",,,,,,,"R. P. ARYA",,"5C76",,0,50,,,,,,,
"FERTILIZER SUBSIDY : THE INEVITABLE MONSTER",,," ",0,0,"12C",,,,,,,"DR. UTTAM GUPTA",,"12C2",,0,450,,,,,,,
"TOURIST GUIDE TO BANGLORE",,,"SURA",1991,0,"5D",,,,,,," ",,"5D372",,0,9,,,,,,,
"THE POPULAR ENGLISH GUJARATI DICTIONARY",,," ",0,0,"6G",,,,,,," ",,"6G8",,0,0,,,,,,,
"CHILDRENS KNOWLEDGE BANK",,,"pustak mahal",1998,1,"7C",,,,,,,"DR. SUNITA GUPTA",,"7C22",,0,96,,,,,,,
"CHILDRENS KNOWLEDGE BANK",,,"pustak mahal",1990,1,"7C",,,,,,,"DR. SUNITA GUPTA",,"7C16",,0,48,,,,,,,
"learn autocad 12 in a day",,,"bpb publications",0,0,"3G",,,,,,,"ralph grabowski",,"3G81",,0,45,,,,,,,
"THE COMPLETE HANDY REFERENCE DICTIONARY THESAURUS GUIDE TO ENGLISH USAGE",,," ",1994,0,"6G",,,,,,," ",,"6G79",,0,0,,,,,,,
"THE IDEAL OF HUMAN UNITY",,,"SRI AUROBINDO ASHRAM",1950,0,"18A",,,,,,,"SRI AUROBINDO",,"18A3",,0,0,,,,,,,
"CHILDRENS KNOWLEDGE BANK",,,"pustak mahal",1986,5,"7C",,,,,,,"DR. SUNITA GUPTA",,"7C25",,0,24,,,,,,,
"ANAND DISTRICT",,,"ANDA SAHITYA PRAKASHAN",0,0,"5D",,,,,,," ",,"5D318",,0,30,,,,,,,
"A SHORT LIFE OF SWAMI VIVEKANANDA",,,"ADVAITA ASHRAMA",0,0,"17E",,,,,,,"SWAMI TEJASANANDA",,"17E164",,0,12,,,,,,,
"SCIENCE FOR ALL",,,"pustak mahal",1991,2,"7B",,,,,,," ",,"7B28",,0,40,,,,,,,
"SHARJAH AND EMIRATES TODAY",,,"MOHAMED ZAMAN",2002,0,"5D",,,,,,," ",,"5D321",,0,0,,,,,,,
"ISLAM AND GAMES",,,"MAULANA MUFTI AHMED E. BEMAT",1989,0,"22G",,,,,,,"MAULANA MUFTI AHMED E. BEMAT",,"22G127",,0,0,,,,,,,
"biographical round up",,,"the worlds work 1913 ltd",1955,0,"4I",,,,,,,"dale carnegie",,"4I52",,0,0,,,,,,,
"SWAMI VIVEKANANDA : HIS HUMANISM",,,"ADVAITA ASHRAMA",1994,0,"17F",,,,,,,"SWAMI RANGANATHANANDA",,"17F26",,0,8,,,,,,,
"GLIMPSES OF DILHI",,,"NARESH PRAKASHAN",1979,0,"5D",,,,,,,"S. P. ROHATGI",,"5D375",,0,10,,,,,,,
"INVESTING ONLINE FOR DUMMIES",,,"IDG BOOKS WORLDWIDE",0,0,"3G",,,,,,,"KATHLEEN SINDELL",,"3G106",,0,"24.99 Doller",,,,,,,
