Title,Edition,ISBN,Publisher Name,Publishing Year,Serial Title,Call Number,Language,publishing place,Classification,Notes,Image,File Attach,Author,Subject,Item Start value,Specific Detail Info,Copies,Price,label,Supplier,Subtitle,Keyword,Book review,Standards,Frequency
Vishwa Jiv,1,,Parragon,,,SCI 18,Gujarati,,500,,,,GUJCOST,Literature,SCI 18,,0,275.00,,,,,,,
Vishwa Itihas,1,,Parragon,,,SCI 19,Gujarati,,500,,,,GUJCOST,Literature,SCI 19,,0,275.00,,,,,,,
Ajab Anokhi Pruthvi,1,,Parragon,,,SCI 20,Gujarati,,500,,,,GUJCOST,Literature,SCI 20,,0,275.00,,,,,,,
Genaral Knowledge,1,,Navneet Publication,,,P01,English,,823,,,,Tolani Roshan,Literature,P01,,0,80.00,,,,,,,
General Knowledge (World Quiz),1,,Navneet Publication,,,P02,English,,823,,,,Tolani Roshan,Referance Book,P02,,0,80.00,,,,,,,
General Knowledge (World Quiz),1,,Navneet Publication,,,P03,English,,823,,,,Tolani Roshan,Referance Book,P03,,0,80.00,,,,,,,
General Knowledge (World Quiz),1,,Navneet Publication,,,P04,English,,823,,,,Tolani Roshan,Referance Book,P04,,0,80.00,,,,,,,
Vidhyarthi,1,,WBG Publication,,,P05,Gujarati,,891.47,,,,Parekh Harish,Literature,P05,,0,20.00,,,,,,,
Shikshak,1,,WBG Publication,,,P06,Gujarati,,891.47,,,,Parekh Harish,Literature,P06,,0,20.00,,,,,,,
Bal Kelvani,1,,WBG Publication,,,P07,Gujarati,,891.47,,,,Parekh Harish,Literature,P07,,0,20.00,,,,,,,
Vrudhdhavastha,1,,WBG Publication,,,P08,Gujarati,,891.47,,,,Parekh Harish,Literature,P08,,0,20.00,,,,,,,
Time Management,1,,WBG Publication,,,P09,Gujarati,,891.47,,,,Parekh Harish,Literature,P09,,0,20.00,,,,,,,
Network Marketing,1,,WBG Publication,,,P10,Gujarati,,891.47,,,,Parekh Harish,Literature,P10,,0,20.00,,,,,,,
Attitude,1,,WBG Publication,,,P11,Gujarati,,891.47,,,,Parekh Harish,Literature,P11,,0,20.00,,,,,,,
Positive Thinking,1,,WBG Publication,,,P12,Gujarati,,891.47,,,,Parekh Harish,Literature,P12,,0,20.00,,,,,,,
Confidence,1,,WBG Publication,,,P13,Gujarati,,891.47,,,,Parekh Harish,Literature,P13,,0,20.00,,,,,,,
Personality,1,,WBG Publication,,,P14,Gujarati,,891.47,,,,Parekh Harish,Literature,P14,,0,20.00,,,,,,,
Safalta,1,,WBG Publication,,,P15,Gujarati,,891.47,,,,Parekh Harish,Literature,P15,,0,20.00,,,,,,,
Prarthna,1,,WBG Publication,,,P16,Gujarati,,891.47,,,,Parekh Harish,Literature,P16,,0,20.00,,,,,,,
Lothal,1,,Pelican Press,,,P17,English,,954.3,,,,Rao S R,Literature,P17,,0,30.00,,,,,,,
Sanchi,1,,Good Earth Pub,,,P18,English,,954.3,,,,Mitra Debala,Literature,P18,,0,99.00,,,,,,,
100 Folk Heroes,1,,Gemini Books,,,P19,English,,920.02,,,,Krall Sarah,Referance Book,P19,,0,65.00,,,,,,,
100 Battels,1,,Pustak Mahal,,,P20,English,,904.7,,,,Krall Sarah,Referance Book,P20,,0,65.00,,,,,,,
Childrens Knowledge Book - 3,1,,Pustak Mahal,,,P21,English,,1,,,,Gupta Sunita,Referance Book,P21,,0,60.00,,,,,,,
Childrens Knowledge Book - 6,1,,Pustak Mahal,,,P22,English,,1,,,,Gupta Sunita,Referance Book,P22,,0,60.00,,,,,,,
Ekvachan,1,,Sahitya Sangam,,,P23,Gujarati,,891.47,,,,BAKSHI CHANDRAKANT,Literature,P23,,0,125.00,,,,,,,
Bahuvachan,1,,Sahitya Sangam,,,P24,English,,891.47,,,,BAKSHI CHANDRAKANT,Literature,P24,,0,60.00,,,,,,,
Kshana No Shakshatkar,1,,Sahitya Sangam,,,P25,Gujarati,,188.2,,,,Desai Kumarpal,Literature,P25,,0,95.00,,,,,,,
Mahek,1,,Suman Book Centre,,,P26,Gujarati,,891.47,,,,Dahiwala Gani,Literature,P26,,0,75.00,,,,,,,
Lambi Safar Che Jindgi,1,,Sahitya Sangam,,,P27,Gujarati,,155.215,,,,Mankad Mohammd,Literature,P27,,0,125.00,,,,,,,
Jivavun Sahelun Che,1,,Sahitya Sangam,,,P28,Gujarati,,891.47,,,,NAIK NANUBHAI,Literature,P28,,0,160.00,,,,,,,
Chalo Aa Rite Vichariye,1,,Sahitya Sangam,,,P29,Gujarati,,891.47,,,,Panchal Dinesh,Literature,P29,,0,90.00,,,,,,,
Jivan Sarit Ne Teer,1,,Sahitya Sangam,,,P30,Gujarati,,891.47,,,,Panchal Dinesh,Literature,P30,,0,94.00,,,,,,,
Rooze,1,,Prograssive Press,,,P31,Gujarati,,891.471,,,,PalanPi Amar,Literature,P31,,0,150.00,,,,,,,
Vachaspati Ni Vyangya Vacha,1,,Sahitya Sangam,,,P32,Gujarati,,891.47,,,,Patel Gajanan,Literature,P32,,0,125.00,,,,,,,
"Balvikas Ni A,B,C,D",1,,Sahitya Sangam,,,P33,Gujarati,,891.47,,,,Shah Shashikant,Literature,P33,,0,125.00,,,,,,,
Safalta Na Shikhar Upar,1,,Sahitya Sangam,,,P34,Gujarati,,891.47,,,,Trivedi Pradip,Literature,P34,,0,80.00,,,,,,,
Saat Paglan Safaltana,1,,Sahitya Sangam,,,P35,Gujarati,,891.47,,,,Trivedi Pradip,Literature,P35,,0,125.00,,,,,,,
Sukh Ni Suvas,1,,Sahitya Sangam,,,P36,Gujarati,,891.47,,,,Trivedi Pradip,Literature,P36,,0,50.01,,,,,,,
Sukh No Parasmani,1,,Sahitya Sangam,,,P37,Gujarati,,891.47,,,,Trivedi Pradip,Literature,P37,,0,50.00,,,,,,,
Mareez Ni Shreshtha Gazalo,1,,Navbharat Sahitya Mandir,,,P38,Gujarati,,891.471,,,,Vyas Rajesh,Literature,P38,,0,100.00,,,,,,,
Illustrated - Oxford Dictionary,1,,Oxford University Press,,,P39,English,,803,,,,Kindersley Dorling,Referance Book,P39,,0,450.00,,,,,,,
Ask Me Anything,1,,Oxford University Press,,,P40,Gujarati,,820.001,,,,Khurana Ashwin,Referance Book,P40,,0,450.00,,,,,,,
MATHAMATICS MCQ- JEE Part-1,1,,GSEB,,,P41,English,,510,,,,GSEB,Referance Book,P41,,0,100.00,,,,,,,
Collns Reference Library,1,,Harper Collins,,,P41,English,,803,,,,Claybourne Anna,Referance Book,P41,,0,1600.00,,,,,,,
MATHAMATICS MCQ-JEE Part - 2,1,,GSEB,,,P42,English,,510,,,,GSEB,Referance Book,P42,,0,70.00,,,,,,,
CHEMISTRY MCQ - JEE Part - 1,1,,GSEB,,,P43,English,,540,,,,GSEB,Referance Book,P43,,0,70.00,,,,,,,
CHEMISTRY MCQ-JEE Part - 2,1,,GSEB,,,P44,English,,540,,,,GSEB,Referance Book,P44,,0,60.00,,,,,,,
PHYSICS MCQ - JEE Part- 1,1,,GSEB,,,P45,English,,530,,,,GSEB,Referance Book,P45,,0,85.00,,,,,,,
PHYSICS MCQ Part - 2,1,,GSEB,,,P46,English,,530,,,,GSEB,Referance Book,P46,,0,95.00,,,,,,,
THE BOSS,1,,R.R Seth ni Co.,,,P47,Gujarati,,891.47,,,,SHAH GUNVANT,Literature,P47,,0,250.00,,,,,,,
1001 Inventions taht Changed the World,1,,Hachette Book Publishing,,,P48,English,,609,,,,Challoner Jack,Literature,P48,,0,,,,,,,,
Picture Atlas,1,,DK,,,P50,English,,912.1,,,,Ganeri Anita,Literature,P50,,0,,,,,,,,
Animal Encyclopedia,,,Panguim Group,,,P51,English,,590.3,,,,Arlon Penelope,Encyclopedia,P51,,0,,,,,,,,
Nature Encyclopedia,,,Panguim Group,,,P52,English,,508.3,,,,Bingham Caroline,Encyclopedia,P52,,0,,,,,,,,
Space Encyclopedia,,,Panguim Group,,,P53,English,,520.3,,,,Bingham Caroline,Encyclopedia,P53,,0,,,,,,,,
Dictionary,,,Panguim Group,,,P54,English,,803,,,,XYZ,Dictionary,P54,,0,,,,,,,,
Just Ek Minute,1,,Navbharat Sahitya Mandir,,,P55,Gujarati,,158,,,,Andhariya Rajoo,Literature,P55,,0,70.00,,,,,,,
Just Ek Minute Part - 2,1,,Navbharat Sahitya Mandir,,,P56,Gujarati,,158,,,,Andhariya Rajoo,Literature,P56,,0,70.00,,,,,,,
Shikshan Darshan,1,,Pravin Prakashan,,,P57,Gujarati,,370,,,,Bhandev,Literature,P57,,0,70.00,,,,,,,
The Tech Tycoons,1,,Wondaer Land Publication,,,P58,Gujarati,,600,,,,Cholera Yagnesh,Literature,P58,,0,270.00,,,,,,,
Draupadini Katha ane Vyatha,1,,Pravin Prakashan,,,P59,Gujarati,,891.47,,,,Dave Susmita,Literature,P59,,0,65.00,,,,,,,
Madhav Kyany Nathi,1,,Pravin Prakashan,,,P60,Gujarati,,891.471,,,,DAVE HARINDRA,Literature,P60,,0,85.00,,,,,,,
Sukhnun Sarnamu,1,,Pravin Prakashan,,,P61,Gujarati,,891.473,,,,JOSHI DINKAR,Literature,P61,,0,20.00,,,,,,,
Saat Paglaa Aaakashmaa,1,,Navbharat Sahitya Mandir,,,P62,Gujarati,,891.471,,,,KAPADIYA KUNDNIKA,Literature,P62,,0,195.00,,,,,,,
Sardar Patel Ek Sinh Push,1,,Gurjar Granth Ratna Karyalay,,,P63,Gujarati,,920,,,,Kadri Rizwan,Literature,P63,,0,180.00,,,,,,,
Chalo Kahevato Samajiye,1,,Kusum Prakashan,,,P64,Gujarati,,891.47,,,,Kadikar Yashvant,Literature,P64,,0,40.00,,,,,,,
Lagniono Sanvad,1,,Gujarat Pustakalay Mandal,,,P65,Gujarati,,891.473,,,,Canfield Jack,Literature,P65,,0,35.00,,,,,,,
Satya na Prayago Ek Aatmakatha,1,,Navjivan Prakashan Mandir,,,P66,Gujarati,,954.035092,,,,GANDHIJI,Literature,P66,,0,70.00,,,,,,,
Shikshan Rah Batave Ramayan,1,,Wondaer Land Publication,,,P67,Gujarati,,294.561,,,,Moraribapu,Literature,P67,,0,95.00,,,,,,,
Jivan Rah Batave Ramayan,1,,Wondaer Land Publication,,,P68,Gujarati,,294.544.6,,,,Moraribapu,Literature,P68,,0,95.00,,,,,,,
SambharNaanni Safar,1,,R.R Seth ni Co.,,,P69,Gujarati,,891.47,,,,MURTI SUDHA,Literature,P69,,0,90.00,,,,,,,
Sachane Nahin Aanch,1,,R.R Seth ni Co.,,,P70,Gujarati,,891.47,,,,MURTI SUDHA,Literature,P70,,0,70.00,,,,,,,
Mansaini Thapan,,,R.R Seth ni Co.,,,P71,Gujarati,,920.054,,,,MURTI SUDHA,Literature,P71,,0,125.00,,,,,,,
Harry Potter Powder Galima,1,,Navbharat Sahitya Mandir,,,P72,Gujarati,,891.474,,,,Mehta Tarak,Literature,P72,,0,25.00,,,,,,,
Mara Swapnnu Bharat,1,,Navjivan Mudranalay,,,P73,Gujarati,,891.474,,,,Gandhi M.K,Literature,P73,,0,40.00,,,,,,,
Dikri Etle Dikri,1,,Navbharat Sahitya Mandir,,,P74,Gujarati,,306.87421,,,,Patel Kanti,Literature,P74,,0,200.00,,,,,,,
Balak Ne Sarjnatamk Kem Banavsho?,1,,Navbharat Sahitya Mandir,,,P75,Gujarati,,891.47,,,,Patel Vasant J,Literature,P75,,0,60.00,,,,,,,
Rudhiprayogo Ane Kahewat Kosh,1,,Adarsh Prakashan,,,P76,Gujarati,,891.47,,,,Patel Chandrikaben,Literature,P76,,0,55.00,,,,,,,
Bill Gates : The Big Boss,1,,Navbharat Sahitya Mandir,,,P77,Gujarati,,891.47,,,,Sharma Rajesh,Literature,P77,,0,120.00,,,,,,,
Rudhiprayogo Ane Kahewat Kosh,1,,Navbharat Sahitya Mandir,,,P77,Gujarati,,891.47,,,,Patel Chandrikaben,Literature,P77,,0,55.00,,,,,,,
Motivational Stories,1,,Rudra Publication,,,P78,Gujarati,,891.47,,,,Surani Vivek,Literature,P78,,0,45.00,,,,,,,
Kelvani ni Bhet,1,,Oasis Shop,,,P79,Gujarati,,891.47,,,,SHAH SANJIV,Literature,P79,,0,30.00,,,,,,,
Maro Tyan Sudhee Jivo,1,,R.R Seth ni Co.,,,P80,Gujarati,,891.474,,,,SHAH GUNVANT,Literature,P80,,0,65.00,,,,,,,
Cardiogram,1,,R.R Seth ni Co.,,,P81,Gujarati,,891.474,,,,SHAH GUNVANT,Literature,P81,,0,75.00,,,,,,,
Zakalbhina Parijat,1,,R.R Seth ni Co.,,,P82,Gujarati,,891.474,,,,SHAH GUNVANT,Literature,P82,,0,65.00,,,,,,,
Draupadi,1,,Image Publication,,,P83,Gujarati,,891.4563,,,,Ray Pratibha,Literature,P83,,0,120.00,,,,,,,
Gora 1,1,,Mihir Prakashan,,,P84,Gujarati,,891.471,,,,Tagor R,Literature,P84,,0,55.00,,,,,,,
Gora 2,1,,Mihir Prakashan,,,P85,Gujarati,,891.471,,,,Tagor R,Literature,P85,,0,55.00,,,,,,,
Shikshan Sajjata,1,,R.R Seth ni Co.,,,P86,Gujarati,,370,,,,Thaker Dakshesh,Literature,P86,,0,60.00,,,,,,,
Chintanne Chamkare,1,,Navbharat Sahitya Mandir,,,P87,Gujarati,,158.1,,,,Unadkat Krishnkant,Literature,P87,,0,120.00,,,,,,,
Preet Kiye Sukh Hoy,1,,Navbharat Sahitya Mandir,,,P88,Gujarati,,152.41,,,,VASAVADA JAY,Literature,P88,,0,150.00,,,,,,,
O Henry ni Sadabahar Vartao,1,,Wondaer Land Publication,,,P89,Gujarati,,813,,,,Vyas Paresh,Literature,P89,,0,150.00,,,,,,,
Samay Ne Sathware,1,,R.R Seth ni Co.,,,P90,Gujarati,,891.473,,,,Vijliwala I K,Literature,P90,,0,35.00,,,,,,,
Slience Please!,1,,R.R Seth ni Co.,,,P91,Gujarati,,891.473,,,,Vijliwala I K,Literature,P91,,0,35.00,,,,,,,
Humfala Avsar,1,,R.R Seth ni Co.,,,P92,Gujarati,,891.473,,,,Vijliwala I K,Literature,P92,,0,35.00,,,,,,,
Antarno Ujas,1,,R.R Seth ni Co.,,,P93,Gujarati,,891.473,,,,Vijliwala I K,Literature,P93,,0,35.00,,,,,,,
Kal ni Kediae thi,1,,R.R Seth ni Co.,,,P94,Gujarati,,891.473,,,,Vijliwala I K,Literature,P94,,0,35.00,,,,,,,
Premno Pagrav,1,,R.R Seth ni Co.,,,P95,Gujarati,,891.473,,,,Vijliwala I K,Literature,P95,,0,35.00,,,,,,,
Amrutno Odkar,1,,R.R Seth ni Co.,,,P96,Gujarati,,891.473,,,,Vijliwala I K,Literature,P96,,0,35.00,,,,,,,
Draupadi,1,,R.R Seth ni Co.,,,P97,Gujarati,,891.473,,,,Vaidya Kajal Oza,Literature,P97,,0,120.00,,,,,,,
Get Well Soon,1,,R.R Seth ni Co.,,,P98,Gujarati,,891.47,,,,Vaidya Kajal Oza,Literature,P98,,0,75.00,,,,,,,
The Gift of Leadership,1,,Oasis Publication,,,P99,English,,828,,,,SHAH SANJIV,Literature,P99,,0,45.00,,,,,,,
The Gift of Peace Pilgrim,1,,Oasis Publication,,,P100,English,,828,,,,SHAH SANJIV,Literature,P100,,0,15.00,,,,,,,
The Gift of Proserity,1,,Oasis Publication,,,P101,English,,828,,,,SHAH SANJIV,Literature,P101,,0,12.00,,,,,,,
The Gift of Life,1,,Oasis Publication,,,P102,English,,828,,,,SHAH SANJIV,Literature,P102,,0,25.00,,,,,,,
The Gift of Success,1,,Oasis Publication,,,P103,English,,828,,,,SHAH SANJIV,Literature,P103,,0,12.00,,,,,,,
Jyare Hu Mane Gamwa Lagyo,1,,Oasis Publication,,,P104,Gujarati,,891.478,,,,SHAH SANJIV,Literature,P104,,0,20.00,,,,,,,
Jyare Sambandho Mane Gamwa Lagya,1,,Oasis Publication,,,P105,Gujarati,,891.478,,,,SHAH SANJIV,Literature,P105,,0,20.00,,,,,,,
Jindgi,1,,Oasis Publication,,,P106,Gujarati,,891.478,,,,SHAH SANJIV,Literature,P106,,0,150.00,,,,,,,
Swavikasni Bhet,1,,Oasis Publication,,,P107,Gujarati,,891.478,,,,SHAH SANJIV,Literature,P107,,0,20.00,,,,,,,
Master Stroke,1,,R.R Seth ni Co.,,,P108,Gujarati,,891.478,,,,Sondarva Hetal,Literature,P108,,0,99.00,,,,,,,
