"Title","edition","isbn_issn","publisher_id","publish_year","collation","series_title","call_number","language_id","publish_place_id","classification","notes","image ","file_att","authors","subjects","items","specific_detail","copies","price","url","supplier_id","subtitle","volumeno","serialno","keywords","bookreview","standards","frequency_id","Editor(s)","Producer","Director","Guide(s)","Publication","Publication Date","Academic Year","Abstract","Duration","Company","KeyActor/Actor","Country","State","City","Age Groups","Awards","College/Inst/Dept","University","Qualification","Journal/Serials","Index","Language 2"
"MECHANICS OF SOLIDS",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","620.105",,,,"RETHALIYA, R, P.","ME,","LJIT00055",,,"450",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"MECHANICS OF SOLIDS",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","620.105",,,,"RETHALIYA, R, P.","ME,","LJIT00056",,,"450",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"MECHANICS OF SOLIDS",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","620.105",,,,"RETHALIYA, R, P.","ME,","LJIT00057",,,"450",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"THE 100 MOST INFLUENTIAL INVENTORS OF ALL TIME",,,"BRITANNICA EDUCATIONAL PUBLISHING",2010,,,,"ENGLISH","NEW DELHI","609.22",,,,"CURLEY, R. ED.","OT,TITLE,","LJIT00058",,,"850",,"UNIQUE BOOK STORE",,,,"OT,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"THE INNER SOLAR SYSTEM: THE SUN MERCURY VENUS EARTH AND MARS: AN EXPLORERS GUIDE TO THE UNIVERSE",,,"BRITANNICA EDUCATIONAL PUBLISHING",2010,,,,"ENGLISH","NEW DELHI","523.2",,,,"GREGERSEN, E. ED.","OT,TITLE,","LJIT00059",,,"800",,"UNIQUE BOOK STORE",,,,"OT,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"THE BRITANNICA GUIDE TO NUMBERS AND MEASUREMENT: MATH EXPLAINED",,,"BRITANNICA EDUCATIONAL PUBLISHING",2010,,,,"ENGLISH","NEW DELHI","512.7",,,,"HOSCH, W, L. ED.","OT,TITLE,","LJIT00060",,,"850",,"UNIQUE BOOK STORE",,,,"OT,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"ASTRONOMICAL OBSERVATIONS: ASTRONOMY AND THE STUDY OF DEEP SPACE: AN EXPLORERS GUIDE TO THE UNIVERSE",,,"BRITANNICA EDUCATIONAL PUBLISHING",2010,,,,"ENGLISH","NEW DELHI","520",,,,"GREGERSEN, E. ED.","OT,TITLE,","LJIT00061",,,"750",,"UNIQUE BOOK STORE",,,,"OT,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"THE 100 MOST INFLUENTIAL SCIENTISTS OF ALL TIME: THE BRITANNICA GUIDE TO THE WORLDS MOST INFLUENTIAL PEOPLE",,,"BRITANNICA EDUCATIONAL PUBLISHING",2010,,,,"ENGLISH","NEW DELHI","509.22",,,,"ROGERS, K. ED.","OT,TITLE,","LJIT00062",,,"900",,"UNIQUE BOOK STORE",,,,"OT,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"THE JUST CITY",,,"CORNELL UNIVERSITY PRESS",2010,,,,"ENGLISH","ITHACA","303.372",,,,"FAINSTEIN, S, S.","GEN,TITLE,","LJIT00063",,,"695",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"CREATING EFFECTIVE TEAMS: A GUIDE FOR MEMBERS AND LEADERS",4,,"SAGE PUBLICATION",2013,,,,"ENGLISH","NEW DELHI","658.4022",,,,"WHEELAN, S, A.","MANAG,TITLE,","LJIT00064",,,"325",,"UNIQUE BOOK STORE",,,,"MANAG,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
