"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"THAT TOAD IS MINE",,,"HYPER COLLINS PUBLISHERS",,,1989,,,,,,,"BARBARA SHOOK HAZEN",,"E2/1989",,0,"US$9.99",,,,,,,
"IF YOU TAKE A MOUSE TO SCHOOL",,,"HYPER COLLINS PUBLISHERS",,,1990,,,,,,,"LAURA NUMEROFF",,"E2/1990",,0,"RS 90",,,,,,,
"MENOPAWS",,,"BOOK CLUB",,,1991,,,,,,,"MARTHA",,"E2/1991",,0,,,,,,,,
"MIRETTE ON THE HIGH WIRE",,,"READER DIGEST",,,1992,,,,,,,"EMILY ARNOLD MCULLY",,"E2/1992",,0,"$16.99 ",,,,,,,
"NEBRASKA PUZZLE BOOK",,,"HEIGHLIGHTS FOR CHILDREN",,,1994,,,,,,,,,"E2/1994",,0,"RS 30",,,,,,,
"PREDATORS",,,"BOOK CLUB",,,1995,,,,,,,"BERNARD STONEHOUSE",,"E2/1995",,0,"US$6.95",,,,,,,
"HOW TO DRAW ANIMALS",,,"COLLINS",,,1996,,,,,,,,,"E2/1996",,0,"$7.95 ",,,,,,,
"ALADARS STORRY",,,"THE WALT DISNEY COMPANY",,,1997,,,,,,,,,"E2/1997",,0,"$2.99 ",,,,,,,
"PETERS CHAIR",,,"SCHOLASTIC",,,1998,,,,,,,"EZRA JACK KEATS",,"E2/1998",,0,,,,,,,,
"PAINT POTS AND THE ROYAL QUEEN",,,"SCHOLASTIC",,,1999,,,,,,,"THE REV.W. AWDRY",,"E2/1999",,0,,,,,,,,
"RUNAWAY SANDY",,,"HOUGHTON MIFFLIN COMPANY",,,2000,,,,,,,"NICOLAS THILO",,"E2/2000",,0,"RS 10",,,,,,,
"TRICKY SPIDER",,,"HOUGHTON MIFFLIN COMPANY",,,2001,,,,,,,"MICHAEL REX.",,"E2/2001",,0,,,,,,,,
"IF YOU GIVE A PIG A PANCAKE",,,"Award Publications",,,2002,,,,,,,"LAURA NUMBER",,"E2/2002",,0,,,,,,,,
"THE TELLY IS WATCHING YOU ",,,"STANDARD PUBLISHING COMPANY",,,2003,,,,,,,"NICHOLAS FISK",,"E2/2003",,0,3.51,,,,,,,
"ATARI",,,"ELECTRONIC EDUCATION",,,2004,,,,,,,,,"E2/2004",,0,,,,,,,,
"THE TALE OF TOMKITTEN",,,"DIAL BOOKS FOR YOUNG READERS",,,2005,,,,,,,"BEATRIX POTTER",,"E2/2005",,0,,,,,,,,
"MY LITTLE PONY",,,"HYPER COLLINS PUBLISHERS",,,2006,,,,,,,"JOANNE MATTERN",,"E2/2006",,0,,,,,,,,
"RUMPELSTILTSKIN",,,"LANDOLL S INC.",,,2007,,,,,,,"JANE JERRARD",,"E2/2007",,0,,,,,,,,
"THE FLOPSY BUNNIES",,,"LANDOLL S INC.",,,2008,,,,,,,"BEATRIX POTTER",,"E2/2008",,0,,,,,,,,
"THE VIRTUE OF GENEROSITY",,,,,,2009,,,,,,,"JENNIFER BOUDART",,"E2/2009",,0,,,,,,,,
"PETER COTTONTAIL",,,"BIGINNER BOOKS",,,2010,,,,,,,,,"E2/2010",,0,,,,,,,,
"HEATHCLIFF",,,"GENERAL PUBLISHING, LIMITED",,,2011,,,,,,,,,"E2/2011",,0,,,,,,,,
"GARFIELD WORLD WIDE",,,"STANDARD PUBLISHING COMPANY",,,2012,,,,,,,"JIM DAVIS",,"E2/2012",,0,,,,,,,,
"MY QUIZ BOOK",,,"THE WALT DISNEY COMPANY",,,2013,,,,,,,"JASMINE JONESQ",,"E2/2013",,0,3.99,,,,,,,
"EOIN COLFER",,,"MC. DONALD",,,2014,,,,,,,"GLENN MCCOY",,"E2/2014",,0,,,,,,,,
"HAPPY BIRTHDAY SAMANTHA!",,,"PLAY MORE INC.",,,2015,,,,,,,"VALERIE",,"E2/2015",,0,5.95,,,,,,,
