"Tittle","Edition","ISBN No","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"QUICK REFERENCE BIOGRAPHY SERIES:ALBERT EINSTEIN A BIOGRAPHY OF A GREAT NOBLE LAUREATE WHO INSPIRED MILLIONS",,9788184990812,"SHREE",,,8119,"ENGLISH",,"920/QUI",,,,,"NOBLE LAUREATE",8119,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:ALEXANDER GRAHAM BELL A BIOGRAPHY OF A GREAT INVENTOR WHO INSPIRED MILLIONS",,9788184990256,"SHREE",,,8120,"ENGLISH",,"920/QUI",,,,,"INVENTOR",8120,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:ALEXANDER THE GREAT A BIOGRAPHY OF A GREAT RULER WHO INSPIRED MILLIONS",,9788184990423,"SHREE",,,8121,"ENGLISH",,"920/QUI",,,,,"RULER",8121,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:ALFRED NOBEL A BIOGRAPHY OF A GREAT INVENTOR WHO INSPIRED MILLIONS",,9788184990263,"SHREE",,,8122,"ENGLISH",,"920/QUI",,,,,"INVENTOR",8122,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:AMITABH BACHAHAN A BIOGRAPHY OF A GREAT ENTERTAINER WHO INSPIRED MILLIONS",,9788184990010,"SHREE",,,8123,"ENGLISH",,"920/QUI",,,,,"ENTERTAINER",8123,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:ANGELA MERKEL A BIOGRAPHY OF A GREAT WOMAN WHO INSPIRED MILLIONS",,9788184990577,"SHREE",,,8124,"ENGLISH",,"920/QUI",,,,,,8124,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:ASHOKA THE GREAT A BIOGRAPHY OF A GREAT RULER WHO INSPIRED MILLIONS",,9788184990430,"SHREE",,,8125,"ENGLISH",,"920/QUI",,,,,"RULER",8125,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:AZIM PREMJI A BIOGRAPHY OF A GREAT INDIAN BUSINESS PERSONALITY WHO INSPIRED MILLIONS",,9788184990171,"SHREE",,,8126,"ENGLISH",,"920/QUI",,,,,"BUSINESS PERSONALITIES",8126,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:BENAZIR BHUTTO A BIOGRAPHY OF A GREAT WOMAN WHO INSPIRED MILLIONS",,9788184990584,"SHREE",,,8127,"ENGLISH",,"920/QUI",,,,,,8127,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:BILL GATES A BIOGRAPHY OF A GREAT BUSINESS PERSONALITY WHO INSPIRED MILLIONS",,9788184990737,"SHREE",,,8128,"ENGLISH",,"920/QUI",,,,,"BUSINESS PERSONALITIES",8128,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:CHARLES BABBAGE A BIOGRAPHY OF A GREAT INVENTOR WHO INSPIRED MILLIONS",,9788184990270,"SHREE",,,8129,"ENGLISH",,"920/QUI",,,,,"INVENTOR",8129,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:CHARLES DARWIN A BIOGRAPHY OF A GREAT THINKER WHO INSPIRED MILLIONS",,9788184990492,"SHREE",,,8130,"ENGLISH",,"920/QUI",,,,,"THINKER",8130,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:CHARLIE CHAPLIN A BIOGRAPHY OF A GREAT PERSONALITY WHO INSPIRED MILLIONS",,9788184990355,"SHREE",,,8131,"ENGLISH",,"920/QUI",,,,,,8131,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:CHE GUEVARA A BIOGRAPHY OF A GREAT FREEDOM FIGHTER WHO INSPIRED MILLIONS",,9788184990102,"SHREE",,,8132,"ENGLISH",,"920/QUI",,,,,"FREEDOM FIGHTER",8132,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:CHHATRAPATI SHIVAJI A BIOGRAPHY OF A GREAT FREEDOM FIGHTER WHO INSPIRED MILLIONS",,9788184990119,"SHREE",,,8133,"ENGLISH",,"920/QUI",,,,,"FREEDOM FIGHTER",8133,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:GALILEO GALILEI A BIOGRAPHY OF A GREAT INVENTOR WHO INSPIRED MILLIONS",,9788184990287,"SHREE",,,8134,"ENGLISH",,"920/QUI",,,,,"INVENTOR",8134,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:GENGHIS KHAN A BIOGRAPHY OF A GREAT RULER WHO INSPIRED MILLIONS",,9788184990447,"SHREE",,,8135,"ENGLISH",,"920/QUI",,,,,"RULER",8135,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:HELEN KELLER A BIOGRAPHY OF A GREAT THINKER WHO INSPIRED MILLIONS",,9788184990508,"SHREE",,,8136,"ENGLISH",,"920/QUI",,,,,"THINKER",8136,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:HENRY FORD A BIOGRAPHY OF A GREAT BUSINESS PERSONALITY WHO INSPIRED MILLIONS",,9788184990744,"SHREE",,,8137,"ENGLISH",,"920/QUI",,,,,"BUSINESS PERSONALITIES",8137,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:HILLARY CLINTON A BIOGRAPHY OF A GREAT WOMAN WHO INSPIRED MILLIONS",,9788184990607,"SHREE",,,8138,"ENGLISH",,"920/QUI",,,,,,8138,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:JACKIE CHAN A BIOGRAPHY OF A GREAT ENTERTAINER  WHO INSPIRED MILLIONS",,9788184990034,"SHREE",,,8139,"ENGLISH",,"920/QUI",,,,,"ENTERTAINER",8139,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:JAMES WATT A BIOGRAPHY OF A GREAT INVENTOR WHO INSPIRED MILLIONS",,9788184990294,"SHREE",,,8140,"ENGLISH",,"920/QUI",,,,,"INVENTOR",8140,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:J KRISHNAMURTI A BIOGRAPHY OF A GREAT THINKER WHO INSPIRED MILLIONS",,9788184990515,"SHREE",,,8141,"ENGLISH",,"920/QUI",,,,,"THINKER",8141,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:JOHN F KENNEDY A BIOGRAPHY OF A GREAT PERSONALITY WHO INSPIRED MILLIONS",,9788184990379,"SHREE",,,8142,"ENGLISH",,"920/QUI",,,,,,8142,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:JULIUS CEASAR A BIOGRAPHY OF A GREAT RULER WHO INSPIRED MILLIONS",,9788184990454,"SHREE",,,8143,"ENGLISH",,"920/QUI",,,,,"RULER",8143,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:KARL MARX A BIOGRAPHY OF A GREAT  THINKER WHO INSPIRED MILLIONS",,9788184990522,"SHREE",,,8144,"ENGLISH",,"920/QUI",,,,,"THINKER",8144,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:KIRAN BEDI A BIOGRAPHY OF A GREAT WOMAN WHO INSPIRED MILLIONS",,9788184990652,"SHREE",,,8145,"ENGLISH",,"920/QUI",,,,,,8145,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:KUMAR MANGALAM BIRLA A BIOGRAPHY OF A GREAT INDIAN BUSINESS PERSONALITY WHO INSPIRED MILLIONS",,9788184990201,"SHREE",,,8146,"ENGLISH",,"920/QUI",,,,,"BUSINESS PERSONALITIES",8146,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:MADONNA A BIOGRAPHY OF A GREAT ENTERTAINER WHO INSPIRED MILLIONS",,9788184990041,"SHREE",,,8147,"ENGLISH",,"920/QUI",,,,,"ENTERTAINER",8147,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:MAO TSE TUNG A BIOGRAPHY OF A GREAT PERSONALITY WHO INSPIRED MILLIONS",,9788184990386,"SHREE",,,8148,"ENGLISH",,"920/QUI",,,,,,8148,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:MARIE CURIE A BIOGRAPHY OF A GREAT NOBEL LAUREATE WHO INSPIRED MILLIONS",,9788184990836,"SHREE",,,8149,"ENGLISH",,"920/QUI",,,,,"NOBLE LAUREATE",8149,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:MICHAEL SCHUMACHER A BIOGRAPHY OF A GREAT ENTERTAINER WHO INSPIRED MILLIONS",,9788184990072,"SHREE",,,8150,"ENGLISH",,"920/QUI",,,,,"ENTERTAINER",8150,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:NAPOLEAN BONAPARTE A BIOGRAPHY OF A GREAT RULER WHO INSPIRED MILLIONS",,9788184990461,"SHREE",,,8151,"ENGLISH",,"920/QUI",,,,,"RULER",8151,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:NELSON MANDELA A BIOGRAPHY OF A GREAT NOBEL LAUREATE WHO INSPIRED MILLIONS",,9788184990874,"SHREE",,,8152,"ENGLISH",,"920/QUI",,,,,"NOBLE LAUREATE",8152,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:OSHO RAJNEESH A BIOGRAPHY OF A GREAT THINKER WHO INSPIRED MILLIONS",,9788184990539,"SHREE",,,8153,"ENGLISH",,"920/QUI",,,,,"THINKER",8153,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:QUEEN VICTORIA A BIOGRAPHY OF A GREAT RULER WHO INSPIRED MILLIONS",,9788184990478,"SHREE",,,8154,"ENGLISH",,"920/QUI",,,,,"RULER",8154,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:RABINDRANATH TAGORE A BIOGRAPHY OF A GREAT FREEDOM FIGHTER WHO INSPIRED MILLIONS",,9788184990133,"SHREE",,,8155,"ENGLISH",,"920/QUI",,,,,"FREEDOM FIGHTER",8155,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:R K NARAYAN A BIOGRAPHY OF A GREAT THINKER WHO INSPIRED MILLIONS",,9788184990546,"SHREE",,,8156,"ENGLISH",,"920/QUI",,,,,"THINKER",8156,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:SADDAM HUSSEIN A BIOGRAPHY ",,9788184990393,"SHREE",,,8157,"ENGLISH",,"920/QUI",,,,,,8157,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:SIR C V RAMAN A BIOGRAPHY OF A GREAT NOBEL LAUREATE WHO INSPIRED MILLIONS",,9788184990881,"SHREE",,,8158,"ENGLISH",,"920/QUI",,,,,"NOBLE LAUREATE",8158,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:SIR ISAAC NEWTON A BIOGRAPHY OF A GREAT INVENTOR WHO INSPIRED MILLIONS",,9788184990300,"SHREE",,,8159,"ENGLISH",,"920/QUI",,,,,"INVENTOR",8159,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:SONIA GANDHI A BIOGRAPHY OF A GREAT WOMAN WHO INSPIRED MILLIONS",,9788184990713,"SHREE",,,8160,"ENGLISH",,"920/QUI",,,,,,8160,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:SUNIL BHARTI MITTAL A BIOGRAPHY OF A GREAT INDIAN BUSINESS PERSONALITY WHO INSPIRED MILLIONS",,9788184990232,"SHREE",,,8161,"ENGLISH",,"920/QUI",,,,,"BUSINESS PERSONALITIES",8161,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:THOMAS ALVA EDISON A BIOGRAPHY OF A GREAT INVENTORS WHO INSPIRED MILLIONS",,9788184990317,"SHREE",,,8162,"ENGLISH",,"920/QUI",,,,,"INVENTOR",8162,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:TIPU SULTAN A BIOGRAPHY OF A GREAT FREEDOM FIGHTER WHO INSPIRED MILLIONS",,9788184990164,"SHREE",,,8163,"ENGLISH",,"920/QUI",,,,,"FREEDOM FIGHTER",8163,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:VIJAY MALLYA A BIOGRAPHY OF A GREAT INDIAN BUSINESS PERSONALITY WHO INSPIRED MILLIONS",,9788184990249,"SHREE",,,8164,"ENGLISH",,"920/QUI",,,,,"BUSINESS PERSONALITIES",8164,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:VENKATRAMAN RAMAKRISHNAN INDIA-BORN NOBEL PRIZE WINNER IN CHEMISTRY 2009 A BIOGRAPHY OF A GREAT NOBEL LAUREATE WHO INSPIRED MILLIONS",,9788184990898,"SHREE",,,8165,"ENGLISH",,"920/QUI",,,,,"NOBLE LAUREATE",8165,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:WALT DISNEY A BIOGRAPHY OF A GREAT BUSINESS PERSONALITY WHO INSPIRED MILLIONS",,9788184990799,"SHREE",,,8166,"ENGLISH",,"920/QUI",,,,,"BUSINESS PERSONALITIES",8166,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:WARREN BUFFETT A BIOGRAPHY OF A GREAT BUSINESS PERSONALITY WHO INSPIRED MILLIONS",,9788184990805,"SHREE",,,8167,"ENGLISH",,"920/QUI",,,,,"BUSINESS PERSONALITIES",8167,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:WILLIAM SHAKESPEARE A BIOGRAPHY OF A GREAT THINKER WHO INSPIRED MILLIONS",,9788184990560,"SHREE",,,8168,"ENGLISH",,"920/QUI",,,,,"THINKER",8168,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:WINSTON CHURCHILL A BIOGRAPHY OF A GREAT PERSONALITY WHO INSPIRED MILLIONS ",,9788184990409,"SHREE",,,8169,"ENGLISH",,"920/QUI",,,,,,8169,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:WRIGHT BROTHERS A BIOGRAPHY OF A GREAT INVENTORS WHO INSPIRED MILLIONS",,9788184990324,"SHREE",,,8170,"ENGLISH",,"920/QUI",,,,,"INVENTOR",8170,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"ANIMAL FACT FILES: FISH",2007,9780862887742,"SHREE",2007,,8171,"ENGLISH",,"500/DAW",,,,"DAWES JOHN & BEER AMY-JANE & OTHERS",,8171,,0,299,,"MARSHAL DISTRIBUTORS",,,"GOOD","SCIENCE",
"ANIMAL FACT FILES: BIRDS",2007,9780862887698,"SHREE",2007,,8172,"ENGLISH",,"500/CHA",,,,"CHANDLER DAVID & COUZENS DOMINIC & OTHERS",,8172,,0,299,,"MARSHAL DISTRIBUTORS",,,"GOOD","SCIENCE",
"ANIMAL FACT FILES: REPTILES",2007,9780785819684,"SHREE",2007,,8173,"ENGLISH",,"500/MAT",,,,"MATTISON CHRIS & DAVIES VAL & OTHER",,8173,,0,299,,"MARSHAL DISTRIBUTORS",,,"GOOD","SCIENCE",
"ANIMAL FACT FILES: MAMMALS",2007,9780785819677,"SHREE",2007,,8174,"ENGLISH",,"500/BEE",,,,"BEER AMY-JANE & MORRIS PAT",,8174,,0,299,,"MARSHAL DISTRIBUTORS",,,"GOOD","SCIENCE",
"WE CAN DO IT: THOUGHTS FOR CHANGE",2014,9789350497630,"SHREE",2014,,8175,"ENGLISH",,"600/KAL",,,,"KALAM APJ ABDUL & PILLAI SIVATHANU",,8175,,0,399,,"MARSHAL DISTRIBUTORS",,,"GOOD","TECHNOLOGY",
"THE PATH UNEXPLORED: SUCCESS MANTRA OF BRAHMOS",2014,9788182748033,"PENTAGON PRESS(SHREE)",2014,,8176,"ENGLISH",,"600/PIL",,,,"PILLAI SIVATHANU",,8176,,0,395,,"MARSHAL DISTRIBUTORS",,,"GOOD","TECHNOLOGY",
"OXFORD STUDY MATHEMATICS DICTIONARY",1999,9780199116881,"OXFORD(SHREE)",1999,,8177,"ENGLISH",,"503/OXF",,,,,"MATHEMATICS",8177,,0,595,,"MARSHAL DISTRIBUTORS",,,"GOOD","DICTIONARY",
"PERSONALITY DEVELOPMENT THROUGH POSITIVE THINKING",2010,9788179631041,"SHREE",2010,,8178,"ENGLISH",,"158.1/ABR",,,,"ABRAHAM AMIT",,8178,,0,80,,"MARSHAL DISTRIBUTORS",,,"GOOD","PSYCOLOGY",
"INDIAN TALES AND LEGENDS",,9788179633243,"SHREE",,,8179,"ENGLISH",,"823/IND",,,,,,8179,,0,250,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"EVERGREEN STORIES OF GRIMMS",2013,9789350495056,"SHREE",2013,,8180,"ENGLISH",,"823/EVE",,,,,,8180,,0,95,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"EVERGREEN ANIMAL TALES",2013,9788179632598,"SHREE",2013,,8181,"ENGLISH",,"823/EVE",,,,,,8181,,0,95,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"EVERGREEN AESOPS FABLES",2013,9788179632543,"SHREE",2013,,8182,"ENGLISH",,"823/EVE",,,,,,8182,,0,95,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"EVERGREEN FOLK TALES FROM AROUND THE WORLD",2013,9788179632604,"SHREE",2013,,8183,"ENGLISH",,"823/EVE",,,,,,8183,,0,95,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"EVERGREEN STORIES OF HANS ANDERSEN",2013,9789350495018,"SHREE",2013,,8184,"ENGLISH",,"823/EVE",,,,,,8184,,0,95,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"EVERGREEN BIBLE STORIES ",2014,9789350495179,"SHREE",2014,,8185,"ENGLISH",,"823/EVE",,,,,,8185,,0,95,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"HANDLING BEHAVIOUR PROBLEMS IN YOUNG CHILDREN",2013,9178183530872,"SCHOLARS HUB",2013,,8186,"ENGLISH",,"150/JAI",,,,"JAIN SUGANDHA & JAIN NEERA",,8186,,0,125,,"MARSHAL DISTRIBUTORS",,,"GOOD","PSYCOLOGY",
"ENGLISH ESSAYS AND LETTERS(FOR SECONDARY CLASSES) 1",2014,9788183531603,"SCHOLARS HUB",2014,,8187,"ENGLISH",,"824/SAH",,,,"SAHNI NIDHI","ESSAYS & LETTERS",8187,,0,100,,"MARSHAL DISTRIBUTORS",,,"GOOD","ENGLISH ",
"HINDI NIBANDH RACHNA(PRAHTMIK KAKSHAOO KE LIYE) 1",2008,9788183531658,"SCHOLARS HUB",2008,,8188,"ENGLISH",,"891.4304/SAH",,,,"SAHNI NIDHI","ESSAYS ",8188,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","HINDI",
"HINDI NIBANDH RACHNA(PRAHTMIK KAKSHAOO KE LIYE) 2",2008,9788183531313,"SCHOLARS HUB",2008,,8189,"ENGLISH",,"891.4304/SAH",,,,"SAHNI NIDHI","ESSAYS ",8189,,0,70,,"MARSHAL DISTRIBUTORS",,,"GOOD","HINDI",
"FESTIVALS OF INDIA",2009,9788183531207,"SCHOLARS HUB",2009,,8190,"ENGLISH",,"200/FES",,,,,"FESTIVALS",8190,,0,100,,"MARSHAL DISTRIBUTORS",,,"GOOD","RELIGION",
"LEARN & PLAY HOCKEY",2011,9788131012321,"MANOJ PUBLICATION",2011,,8191,"ENGLISH",,"796/TIW",,,,"TIWARI RAJIV",,8191,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","SPORTS",
"STRAIGHT TALK ABOUT CHILDREN AND SPORTS ADVICE FOR PARENTS COACHES AND TEACHERS",2006,9798180566409,"HEALTHY HARMONY",2006,,8192,"ENGLISH",,"796/LEB",,,,"LEBLANCE JANET & DICKSON LOUISE",,8192,,0,99,,"MARSHAL DISTRIBUTORS",,,"GOOD","SPORTS",
"YOU CAN WIN : WINNERS DONT DO DIFFERENT THINGS THEY DO THINGS DIFFERENTLY : A STEP-BY-STEP TOOL FOR TOP ACHIEVERS",2013,9789382951711,"BLOOMSBURY INDIA",2013,,8193,"ENGLISH",,"650.1/KHE",,,,"KHERA SHIV",,8193,,0,399,,"MARSHAL DISTRIBUTORS",,,"GOOD","TECHNOLOGY",
"THE 7 HABITS OF HIGHLY EFFECTIVE TEENAGERS",2014,9781471136870,"SIMON & SCHUSTER UK",2014,,8194,"ENGLISH",,"158.0835/SEA",,,,"COVEY SEAN",,8194,,0,499,,"MARSHAL DISTRIBUTORS",,,"GOOD","PSYCOLOGY",
