"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency",,,,,,
"THE BLUE CARBUNDE","2002",,"CRUST PUBLISHING HOUSE","2003","DRAMA","125","ENGLISH MEDIUM",,"ED 16",,,,"SIR ANTHAR CANON DAYLE","DRAMA","125",,,"$25.00",,,,,,,,,,,,,
"THE COMEDY OF ERRORS","2002",,"CREST PUBLISHING HOUSE","2003","DRAMA","126","ENGLISH MEDIUM","NEW DELHI","ED 12",,,,"WIILLIAM SHAKESPEAR","DRAMA","126",,,"$25.00",,,,,,,,,,,,,
"THE ADVENTURES OF THREE STUDENTS","2002",,"CRUST PUBLISHING HOUSE","2003","DRAMA","127","ENGLISH MEDIUM",,"ED 3",,,,"SIR ANTHAR CANON DAYLE","DRAMA","127",,,"$25.00",,,,,,,,,,,,,
"KING LEAR","2002",,"CREST PUBLISHING HOUSE","2003","DRAMA","128","ENGLISH MEDIUM","NEW DELHI","ED 13",,,,"WIILLIAM SHAKESPEAR","DRAMA","128",,,"$25.00",,,,,,,,,,,,,
"AS YOU LIKE IT","2001",,"CREST PUBLISHING HOUSE","2003","DRAMA","129","ENGLISH MEDIUM","NEW DELHI","ED 10",,,,"WILLIAM SHAKESPEAR","DRAMA","129",,,"$25.00",,,,,,,,,,,,,
"OTHELLO","2002",,"CRUST PUBLISHING HOUSE","2003","DRAMA","130","ENGLISH MEDIUM",,"ED 6",,,,"WILLIAM SAKESPEARE","DRAMA","130",,,"$25.00",,,,,,,,,,,,,
"THE MERCHANT OF VENICE","2002",,"CRUST PUBLISHING HOUSE","2003","DRAMA","131","ENGLISH MEDIUM",,"ED 4",,,,"WILLIAM SAKESPEARE","DRAMA","131",,,"$25.00",,,,,,,,,,,,,
"HAMLET","2002",,"CRUST PUBLISHING HOUSE","2003","DRAMA","132","ENGLISH MEDIUM",,"ED 9",,,,"WILLIAM SAKESPEARE","DRAMA","132",,,"$25.00",,,,,,,,,,,,,
"THE TEMPEST","2002",,"CRUST PUBLISHING HOUSE","2003","DRAMA","133","ENGLISH MEDIUM",,"ED 8",,,,"WILLIAM SAKESPEARE","DRAMA","133",,,"$25.00",,,,,,,,,,,,,
"MACBETH","2002",,"CREST PUBLISHING HOUSE","2003","DRAMA","134","ENGLISH MEDIUM","NEW DELHI","ED 1",,,,"WIILLIAM SHAKESPEAR","DRAMA","134",,,"$25.00",,,,,,,,,,,,,
