"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency",,,,,,
"BABY ANIMALS","1984",,"A GOLDEN BOOK","2011","STORY BOOK","1892","ENGLISH MEDIUM","NEW YORK","ESB 186",,,,"GARTH WILLIAMS","STORY BOOK","1892",,,"$25.00",,,,,,,,,,,,,
"BUSIEST FIRE FIGHTERS EVER","1993",,"A GOLDEN BOOK","2011","STORY BOOK","1894","ENGLISH MEDIUM","NEW YORK","ESB 188",,,,"RICHARD SCARRY","STORY BOOK","1894",,,"$25.00",,,,,,,,,,,,,
"I SPY SCHOOL DAYS","2000",,"SCHOLASTIC","2011","STORY BOOK","1895","ENGLISH MEDIUM",,"ESB 189",,,,"JEAN MARROLLO","STORY BOOK","1895",,,"$25.00",,,,,,,,,,,,,
"HOW THE SUN WAS BORN","2006",,"WILLOWISP PRESS","2011","STORY BOOK","1896","ENGLISH MEDIUM",,"ESB 190",,,,"STUDENTS","STORY BOOK","1896",,,"$25.00",,,,,,,,,,,,,
"THE RUNAWAY BEARD","2008",,"WORKMAN PUBLISHING","2011","STORY BOOK","1897","ENGLISH MEDIUM","NEW YORK","ESB 191",,,,"DAVID SCHILLER","STORY BOOK","1897",,,"$25.00",,,,,,,,,,,,,
"SHAPES PRE SCHOOL PRACTICE WORK BOOK","2008",,"CUDDLY DUCK","2011","STORY BOOK","1898","ENGLISH MEDIUM","CHINA","ESB 192",,,,,"STORY BOOK","1898",,,"$25.00",,,,,,,,,,,,,
"PICNIC ABC","2008",,"FOEBEL KANCOLTD","2011","STORY BOOK","1900","ENGLISH MEDIUM","JAPAN","ESB 194",,,,,"STORY BOOK","1900",,,"$25.00",,,,,,,,,,,,,
"TRUNK TROUBLA",,,"P3","2011","STORY BOOK","1901","ENGLISH MEDIUM",,"ESB 195",,,,,"STORY BOOK","1901",,,"$25.00",,,,,,,,,,,,,
"FANTANSTIC FROG",,,"SCHOLASTIC","2011","STORY BOOK","1902","ENGLISH MEDIUM","NEW YORK","ESB 196",,,,"FAY ROBINSON","STORY BOOK","1902",,,"$25.00",,,,,,,,,,,,,
"I AM A BIG SISTER","2008",,"HARPER COLLINS ","2011","STORY BOOK","1903","ENGLISH MEDIUM",,"ESB 197",,,,"MAXIE CHAMBLISS","STORY BOOK","1903",,,"$25.00",,,,,,,,,,,,,
"LITTLE KIPPERS SKATES",,,"RED WAGON BOOKS","2011","STORY BOOK","1904","ENGLISH MEDIUM","LONDON","ESB 198",,,,"MICK INKPEN","STORY BOOK","1904",,,"$25.00",,,,,,,,,,,,,
"MINE, ALL MINE","2010",,"SCHOLASTIC","2011","STORY BOOK","1905","ENGLISH MEDIUM","NEW DELHI","ESB 199",,,,"RUTH HELLER","STORY BOOK","1905",,,"$50.00",,,,,,,,,,,,,
"WATCH ME","2002",,,"2011","STORY BOOK","1906","ENGLISH MEDIUM",,"ESB 200",,,,,"STORY BOOK","1906",,,"$25.00",,,,,,,,,,,,,
"MANNERS",,,"A GOLDEN BOOK","2011","STORY BOOK","1907","ENGLISH MEDIUM",,"ESB 201",,,,"PEGGY PARISH","STORY BOOK","1907",,,"$25.00",,,,,,,,,,,,,
"TUMMY TROUBLE",,,"SCHOLASTIC","2011","STORY BOOK","1908","ENGLISH MEDIUM",,"ESB 202",,,,,"STORY BOOK","1908",,,"$25.00",,,,,,,,,,,,,
"THE BUILDING SITE",,,,"2011","STORY BOOK","1910","ENGLISH MEDIUM",,"ESB 204",,,,"PHILIPPE DUPASQUIER","STORY BOOK","1910",,,"$25.00",,,,,,,,,,,,,
"FIREFLY JOE",,,,"2011","STORY BOOK","1911","ENGLISH MEDIUM",,"ESB 205",,,,,"STORY BOOK","1911",,,"$25.00",,,,,,,,,,,,,
"PAT THE CAT",,,"DK","2011","STORY BOOK","1913","ENGLISH MEDIUM",,"ESB 207",,,,"COLIN","STORY BOOK","1913",,,"$25.00",,,,,,,,,,,,,
"DOES A SHEEP WEAR MITTENS","2008",,"IGLOO","2011","STORY BOOK","1915","ENGLISH MEDIUM","CHINA","ESB 209",,,,,"STORY BOOK","1915",,,"$25.00",,,,,,,,,,,,,
"BABYS THINGS","2008",,"PLATT AND MUNK","2011","STORY BOOK","1916","ENGLISH MEDIUM",,"ESB 210",,,,"PLATT AND MUNK","STORY BOOK","1916",,,"$25.00",,,,,,,,,,,,,
"GOOD NIGHT BABY DONALD",,,"GROLIER","2011","STORY BOOK","1917","ENGLISH MEDIUM","USA","ESB 211",,,,,"STORY BOOK","1917",,,"$25.00",,,,,,,,,,,,,
"BABY OTTER","2008",,"PUBLICATIN INTER","2011","STORY BOOK","1919","ENGLISH MEDIUM",,"ESB 212",,,,"MARK FRUCH","STORY BOOK","1919",,,"$25.00",,,,,,,,,,,,,
"THE TALE OF TIMMY TIPTOES","2008",,"A WARNER AND CO.","2011","STORY BOOK","1920","ENGLISH MEDIUM",,"ESB 214",,,,"BEATRIX POTTER","STORY BOOK","1920",,,"$25.00",,,,,,,,,,,,,
"POKEMON",,,"SCHOLASTIC","2011","STORY BOOK","1921","ENGLISH MEDIUM","NEW YORK","ESB 215",,,,,"STORY BOOK","1921",,,"$25.00",,,,,,,,,,,,,
"SUBSTRACTION ACTION","2008",,"SCHOLASTIC","2011","STORY BOOK","1922","ENGLISH MEDIUM",,"ESB 216",,,,"LOREN LEEDY","STORY BOOK","1922",,,"$25.00",,,,,,,,,,,,,
"THE GOLDEN EGG BOOK","1975",,"A GOLDEN BOOK","2011","STORY BOOK","1923","ENGLISH MEDIUM","NEW YORK","ESB 217",,,,"MARGARET WISE","STORY BOOK","1923",,,"$25.00",,,,,,,,,,,,,
"ANIMAL RESCUE ADVENT","2008",,"PUBLICATIN INTER","2011","STORY BOOK","1926","ENGLLISH MEDIUM",,"ESB 220",,,,"A & J STUDIOS","STORY BOOK","1926",,,"$25.00",,,,,,,,,,,,,
"MY FIRST BOOK",,,"THE CHILD WORLD","2011","STORY BOOK","1927","ENGLISH MEDIUM",,"ESB 221",,,,"JANE BELK","STORY BOOK","1927",,,"$25.00",,,,,,,,,,,,,
"PEEK - A - BOO","2004",,"SCHOLASTIC","2011","STORY BOOK","1928","ENGLISH MEDIUM","CHINA","ESB 222",,,,,"STORY BOOK","1928",,,"$25.00",,,,,,,,,,,,,
"BABY SCHOOL","2008",,"TIME LIFE","2011","STORY BOOK","1929","ENGLISH MEDIUM",,"ESB 223",,,,,"STORY BOOK","1929",,,"$25.00",,,,,,,,,,,,,
"A BOOK OF KISSES","2000",,"HARPER COLLINS ","2011","STORY BOOK","1930","ENGLISH MEDIUM",,"ESB 224",,,,"LAURA RADER","STORY BOOK","1930",,,"$25.00",,,,,,,,,,,,,
"MY ROCKING HORSE","2008",,"PLAYMORE & WOLDMAN","2011","STORY BOOK","1931","ENGLISH MEDIUM","CHINA","ESB 225",,,,,"STORY BOOK","1931",,,"$25.00",,,,,,,,,,,,,
"PETTER RABBIT AND HIS FRIENDS","2006",,"PUBLICATIN INTER","2011","STORY BOOK","1932","ENGLISH MEDIUM",,"ESB 226",,,,"BOB TERRIO","STORY BOOK","1932",,,"$25.00",,,,,,,,,,,,,
"WEE WILLIE WINKLE","1996",,"CANDLEWICK","2011","STORY BOOK","1933","ENGLISH MEDIUM","USA","ESB 227",,,,"ROSEMARY WELLS","STORY BOOK","1933",,,"$25.00",,,,,,,,,,,,,
"WARDS","1993",,"SCHOLASTIC","2011","STORY BOOK","1935","ENGLISH MEDIUM","USA","ESB 229",,,,"LOIS EHLERT","STORY BOOK","1935",,,"$25.00",,,,,,,,,,,,,
"WHO SAYS MOO?",,,"SCHOLASTIC","2011","STORY BOOK","1936","ENGLISH MEDIUM","NEW YORK","ESB 230",,,,"MURIEL AND LIONE KALLISH","STORY BOOK","1936",,,"$25.00",,,,,,,,,,,,,
"BASEBALL BALLERINA STRIKES OUT","2005",,"RANDOM HOUSE","2011","STORY BOOK","1938","ENGLISH MEDIUM",,"ESB 232",,,,"KATHRYN CRISTALDIE","STORY BOOK","1938",,,"$25.00",,,,,,,,,,,,,
"THE HAUNTED HOUSE","1981",,"DISNEY","2011","STORY BOOK","1940","ENGLISH MEDIUM","USA","ESB 234",,,,,"STORY BOOK","1940",,,"$50.00",,,,,,,,,,,,,
"PADDINGTONS GARDEN","1973",,"RANDOM HOUSE","2011","STORY BOOK","1941","ENGLISH MEDIUM","NEW YORK","ESB 235",,,,"MICHAL BOND","STORY BOOK","1941",,,"$25.00",,,,,,,,,,,,,
"THE FOOT BOOK","1968",,"A BRIGHT AND EARLY BOOK","2011","STORY BOOK","1942","ENGLLISH MEDIUM","NEW YORK","ESB 236",,,,"DR SEUSS","STORY BOOK","1942",,,"$25.00",,,,,,,,,,,,,
"DUNCAN AND DOLORES",,,"MACMILLAN PUBLLISHING COMPANY","2011","STORY BOOK","1943","ENGLISH MEDIUM","NEW YORK","ESB 237",,,,"BARBARA SAMUELS","STORY BOOK","1943",,,"$25.00",,,,,,,,,,,,,
"I AM A LEAF","1998",,"SCHOLASTIC","2011","STORY BOOK","1944","ENGLISH MEDIUM","LONDON","ESB 238",,,,"JEAN MARZOLLA","STORY BOOK","1944",,,"$25.00",,,,,,,,,,,,,
"COOKIES WEEK",,,"SCHOLASTIC","2012","STORY BOOK","1945","ENGLLISH MEDIUM",,"ESB 239",,,,"WINDY WARD","STORY BOOK","1945",,,"$25.00",,,,,,,,,,,,,
"WIGGLING WORMS AT WORK",,,"HARPER COLLIAM PUB INDIA","2011","STORY BOOK","1947","ENGLISH MEDIUM",,"ESB 241",,,,,"STORY BOOK","1947",,,"$25.00",,,,,,,,,,,,,
"KINDERGANTEN KIDS","1994",,"SCHOLASTIC","2011","STORY BOOK","1948","ENGLISH MEDIUM","NEW YORK","ESB 242",,,,"ELLEN B. SENSI","STORY BOOK","1948",,,"$25.00",,,,,,,,,,,,,
"THE HAT",,,"SCHOLASTIC","2011","CHILDREN LITERATURE","1949","ENGLISH MEDIUM",,"ESB 243",,,,"JAN BRETT","CHILDREN LITERATURE","1949",,,"$25.00",,,,,,,,,,,,,
"JOHNNY TRACTOR","2006",,"JOHN DEERE","2011","STORY BOOK","1950","ENGLISH MEDIUM","CHINA","ESB 244",,,,"ROYA BASTROM","STORY BOOK","1950",,,"$25.00",,,,,,,,,,,,,
"PADDINGTON AT THE SEASIDE","2006",,"RANDOM HOUSE","2011","STORY BOOK","1951","ENGLISH MEDIUM","NEW YORK","ESB 245",,,,"MICHAEL BOND","STORY BOOK","1951",,,"$25.00",,,,,,,,,,,,,
"MICKEYS BIRTHDAY SURPRISE",,,"A BANTAM BOOK","2011","CHILDREN LITERATURE","1952","ENGLISH MEDIUM","NEW YORK","EEB 246",,,,,"CHILDREN LITERATURE","1952",,,"$17.00",,,,,,,,,,,,,
"HURRY UP FRANKLIN",,,"SCHOLASTIC","2011","STORY BOOK","1953","ENGLISH MEDIUM",,"ESB 247",,,,"PAUL BOURGEOUS","STORY BOOK","1953",,,"$25.00",,,,,,,,,,,,,
"MORRIS THE MOOSE",,,"HARPER COLLIAM PUB INDIA","2011","STORY BOOK","1955","ENGLISH MEDIUM",,"ESB 249",,,,"B. WISEMAN","STORY BOOK","1955",,,"$25.00",,,,,,,,,,,,,
"MY FIRST COUNTING BOOK","1985",,"A GOLDEN BOOK","2011","STORY BOOK","1956","ENGLISH MEDIUM","NEW YORK","ESB 250",,,,"LILIAN MOORE","STORY BOOK","1956",,,"$25.00",,,,,,,,,,,,,
"A LITTLE MERMAID","1993",,"GROLIER","2011","STORY BOOK","1957","ENGLISH MEDIUM","USA","ESB 251",,,,,"STORY BOOK","1957",,,"$50.00",,,,,,,,,,,,,
"THE CHERRY PIE BABY","1994",,"A PUFFIN UNICORN","2011","STORY BOOK","1958","ENGLISH MEDIUM","USA","ESB 252",,,,"KAY CHORAO","STORY BOOK","1958",,,"$25.00",,,,,,,,,,,,,
"THE STORY OF ESTHER","2006",,"GROLIER","2011","STORY BOOK","1959","ENGLISH MEDIUM",,"ESB 253",,,,"ALICE JOYCE","STORY BOOK","1959",,,"$25.00",,,,,,,,,,,,,
"TALKIN TOOLS TAKE CHARGE",,,"SCHOLASTIC","2011","STORY BOOK","1960","ENGLISH MEDIUM","NEW YORK","ESB 254",,,,"ROC GOUDREAU","STORY BOOK","1960",,,"$25.00",,,,,,,,,,,,,
"BABE THE SHEEP PIG","1998",,"RANDOM HOUSE","2011","STORY BOOK","1961","ENGLISH MEDIUM","NEW YORK","ESB 255",,,,"DENNIS HOCKERMAN","STORY BOOK","1961",,,"$25.00",,,,,,,,,,,,,
"HANG ON, HOPPER",,,"SCHOLASTIC","2011","STORY BOOK","1962","ENGLISH MEDIUM","NEW YORK","ESB 256",,,,"MARCUS PFISTER","STORY BOOK","1962",,,"$25.00",,,,,,,,,,,,,
"THE TOOTH BOOK","2010",,"RANDOM HOUSE","2011","STORY BOOK","1963","ENGLISH MEDIUM","DELHI","ESB 257",,,,"JOE MATHIEU","STORY BOOK","1963",,,"$25.00",,,,,,,,,,,,,
"THE VELVETEEN RABBIT",,,"SCHOLASTIC","2011","STORY BOOK","1964","ENGLISH MEDIUM","NEW YORK","ESB 258",,,,"MARGERY WILLIAMS","STORY BOOK","1964",,,"$25.00",,,,,,,,,,,,,
"TELL ABOUT SOMEONE YOU LOVE",,,"MACMILLIAN PUBLISHING","2011","STORY BOOK","1965","ENGLISH MEDIUM",,"ESB 259",,,,,"STORY BOOK","1965",,,"$25.00",,,,,,,,,,,,,
"A SILLY SNOWY DAY",,,"SCHOLASTIC","2011","STORY BOOK","1967","ENGLISH MEDIUM",,"ESB 261",,,,"MICHAEL COLEMAN","STORY BOOK","1967",,,"$50.00",,,,,,,,,,,,,
"LOVE YOU FOREVER",,,"FIREFLY BOOKS","2011","STORY BOOK","1968","ENGLISH MEDIUM",,"ESB 262",,,,"ROBERT MUNSCH","STORY BOOK","1968",,,"$25.00",,,,,,,,,,,,,
"CHRISTOPHER COLUMBUS","2010",,"RANDOM HOUSE","2011","STORY BOOK","1969","ENGLISH MEDIUM","DELHI","ESB 263",,,,"NORMAN GREEN","STORY BOOK","1969",,,"$50.00",,,,,,,,,,,,,
"BAD DOG MARLEY","2008",,"HARPER COLLIAM PUB INDIA","2011","STORY BOOK","1971","ENGLISH MEDIUM",,"ESB 265",,,,"RICHARD COWDREY","STORY BOOK","1971",,,"$25.00",,,,,,,,,,,,,
"SAM GETS LOST",,,"KIDS CAN PRESS","2011","STORY BOOK","1973","ENGLISH MEDIUM","USA","ESB 267",,,,"MARY LABATT","STORY BOOK","1973",,,"$25.00",,,,,,,,,,,,,
"FRANKLIN SAYS SORRY",,,,"2011","STORY BOOK","1974","ENGLISH MEDIUM",,"ESB 268",,,,,"STORY BOOK","1974",,,"$25.00",,,,,,,,,,,,,
"ANDY AND THE TIRE","1987",,"SCHOLASTIC","2011","STORY BOOK","1975","ENGLISH MEDIUM","LONDON","ESB 269",,,,"CRAIG LOVIK","STORY BOOK","1975",,,"$50.00",,,,,,,,,,,,,
"TYRONE AND THE SWAMP GANG","2006",,"SCHOLASTIC","2011","STORY BOOK","1978","ENGLISH MEDIUM",,"ESB 272",,,,"HANS WILHELM","STORY BOOK","1978",,,"$25.00",,,,,,,,,,,,,
"BUBBLESS BEST ADVENTURE EVER",,,,"2011","STORY BOOK","1979","ENGLISH MEDIUM",,"ESB 273",,,,,"STORY BOOK","1979",,,"$25.00",,,,,,,,,,,,,
"THE RUNAWAY BUNNY","2008",,"HARPER FESTIVAL","2011","STORY BOOK","1980","ENGLISH MEDIUM",,"ESB 274",,,,"MARGERET","STORY BOOK","1980",,,"$25.00",,,,,,,,,,,,,
"THE MAGIC SHOW MYSTERY","1998",,"SCHOLASTIC","2011","STORY BOOK","1981","ENGLISH MEDIUM","LONDON","ESB 275",,,,"DANIEL MAR","STORY BOOK","1981",,,"$50.00",,,,,,,,,,,,,
"WINNIE LISTEN UP","2000",,"ADVANCE PUBLISHERS","2011","STORY BOOK","1982","ENGLISH MEDIUM",,"ESB 276",,,,"DISNEYS","STORY BOOK","1982",,,"$25.00",,,,,,,,,,,,,
"DID YOU HEAR SOMETHING?","1992",,"KIDS BOOKS","2011","STORY BOOK","1984","ENGLISH MEDIUM","USA","ESB 278",,,,"MICHAEL ANTHONY","STORY BOOK","1984",,,"$25.00",,,,,,,,,,,,,
"PRINCESS DIARY 2",,,"SCHOLASTIC","2011","STORY BOOK","1986","ENGLISH MEDIUM","USA","ESB 280",,,,"SHANDA RHIMES","STORY BOOK","1986",,,"$25.00",,,,,,,,,,,,,
"TEASING",,,"A FIRST TIME BOOK","2011","STORY BOOK","1989","ENGLLISH MEDIUM",,"ESB 283",,,,"STAN AND JAN BERENSTAIN","STORY BOOK","1989",,,"$25.00",,,,,,,,,,,,,
"JAMIE OROURKE AND THE BIG POTATO",,,"SCHOLASTIC","2011","STORY BOOK","1990","ENGLISH MEDIUM",,"ESB 284",,,,"TOMIE DEPAOLA","STORY BOOK","1990",,,"$25.00",,,,,,,,,,,,,
"ERNIES NEIGHBOURHOOD",,,"SEASAME STREET","2011","STORY BOOK","1991","ENGLISH MEDIUM",,"ESB 285",,,,"DEBORAH KOVACS","STORY BOOK","1991",,,"$25.00",,,,,,,,,,,,,
"IN THE MUSHROOM MEADOW","2002",,"RANDOM HOUSE","2011","STORY BOOK","1992","ENGLISH MEDIUM","NEW YORK","ESB 286",,,,"ALIS INCHER","STORY BOOK","1992",,,"$50.00",,,,,,,,,,,,,
"BABY PIGGY AND THUNDER","1987",,"MUPPET PRESS","2011","STORY BOOK","1993","ENGLISH MEDIUM","NEW YORK","ESB 287",,,,"JOANNE BARKAN","STORY BOOK","1993",,,"$25.00",,,,,,,,,,,,,
"BABYS BREAKFAST",,,,"2011","STORY BOOK","1995","ENGLISH MEDIUM",,"ESB 289",,,,,"STORY BOOK","1995",,,"$25.00",,,,,,,,,,,,,
"MOTHER GOOSE","1994",,"GOLDEN BOOK ","2011","STORY BOOK","1996","ENGLISH MEDIUM","NEW YORK","ESB 290",,,,"ROBIN COHEN","STORY BOOK","1996",,,"$50.00",,,,,,,,,,,,,
"EASTER IN HARWICK",,,"RANDOM HOUSE","2006","STORY BOOK","1997","ENGLISH MEDIUM","LONDON","ESB 291",,,,"THOMAS CAPOTE","STORY BOOK","1997",,,"$25.00",,,,,,,,,,,,,
"THE LITTLE MERMAID",,,"READERS DIGEST CHILDREN BOOK","2006","STORY BOOK","1998","ENGLISH MEDIUM",,"ESB 292",,,,"WENDY WAX","STORY BOOK","1998",,,"$25.00",,,,,,,,,,,,,
"WE EAT DINNER",,,"SCHOLASTIC","2011","STORY BOOK","1999","ENGLISH MEDIUM",,"ESB 293",,,,"ANGELA SHELF","STORY BOOK","1999",,,"$25.00",,,,,,,,,,,,,
"THREE DAYS ON A RIVER","1981",,"HOUGHTON MIFFLIN COMPANY","2011","STORY BOOK","2000","ENGLISH MEDIUM","BOSTON","ESB 294",,,,"VERA WILLIAMS","STORY BOOK","2000",,,"$25.00",,,,,,,,,,,,,
"ATTACK OF THE ....","2006",,"SCHOLASTIC","2011","STORY BOOK","2001","ENGLISH MEDIUM",,"ESB 295",,,,"CALVIN AND HOBBES","STORY BOOK","2001",,,"$50.00",,,,,,,,,,,,,
"BASEBALL GAME","1989",,"SCHOLASTIC","2011","STORY BOOK","2003","ENGLISH MEDIUM","NEW YORK","ESB 297",,,,"ROBERT KRAUS","STORY BOOK","2003",,,"$25.00",,,,,,,,,,,,,
"SLEEPING BEAUTY","1986",,"A GOLDEN BOOK","2011","STORY BOOK","2004","ENGLISH MEDIUM","NEW YORK","ESB 298",,,,"WALT DISNEY","STORY BOOK","2004",,,"$25.00",,,,,,,,,,,,,
"POCAHONTAS","2006",,"WALT DISNEY","2011","STORY BOOK","2005","ENGLISH MEDIUM",,"ESB 299",,,,,"STORY BOOK","2005",,,"$50.00",,,,,,,,,,,,,
"I LOVE YOU BUNNIES","2007",,"DISNEY PRESS","2011","STORY BOOK","2006","ENGLISH MEDIUM","NEW YORK","ESB 300",,,,,"STORY BOOK","2006",,,"$25.00",,,,,,,,,,,,,
"PAMELAS FIRST MUSICAL","1996",,"HYPERIAN PAPERBACKS","2011","STORY BOOK","2007","ENGLISH MEDIUM","NEW YORK","ESB 301",,,,"ANDREW JACKNESS","STORY BOOK","2007",,,"$25.00",,,,,,,,,,,,,
"TOMORROW IS A BRAND","2006",,"HARVEST HOUSE","2011","STORY BOOK","2008","ENGLISH MEDIUM","OREGON","ESB 302",,,,"DEBBY BOONE","STORY BOOK","2008",,,"$25.00",,,,,,,,,,,,,
"MIXED UP MONSTERS",,,,"2011","STORY BOOK","2009","ENGLISH MEDIUM",,"ESB 303",,,,"BANANA JOE","STORY BOOK","2009",,,"$25.00",,,,,,,,,,,,,
"TAKE ME OUT OF THE BATHTUB","2001",,"MARGARET K. MCELDERRY BOOKS","2011","STORY BOOK","2010","ENGLISH MEDIUM","LONDON","ESB 304",,,,"ALAN KATZ","STORY BOOK","2010",,,"$50.00",,,,,,,,,,,,,
"MOTHER GOOSE",,,"RANDOM HOUSE","2012","STORY BOOK","2012","ENGLISH MEDIUM","USA","ESB 306",,,,"WILLIAM JOYCE","STORY BOOK","2012",,,"$25.00",,,,,,,,,,,,,
"CINDERELLA","1995",,"GROLIER","2011","STORY BOOK","2014","ENGLISH MEDIUM",,"ESB 308",,,,"WALT DISNEY","STORY BOOK","2014",,,"$50.00",,,,,,,,,,,,,
"NO ORDINARY MOUSE",,,"CANDLEWICK","2011","STORY BOOK","2015","ENGLISH MEDIUM",,"ESB 309",,,,,"STORY BOOK","2015",,,"$25.00",,,,,,,,,,,,,
"HUSBYIN A HUT","2010",,"SCHOLASTIC","2011","STORY BOOK","2017","ENGLISH MEDIUM","NEW DELHI","ESB 311",,,,"BEM M. BAGLIO","STORY BOOK","2017",,,"$50.00",,,,,,,,,,,,,
"26 FAIRMOUNT AVENUE",,,"SCHOLASTIC","2011","STORY BOOK","2018","ENGLISH MEDIUM","NEW YORK","ESB 312",,,,,"STORY BOOK","2018",,,"$25.00",,,,,,,,,,,,,
"DINOSAUR COVE","2010",,"SCHOLASTIC","2011","STORY BOOK","2020","ENGLISH MEDIUM","NEW DELHI","ESB 314",,,,"REX STONE","STORY BOOK","2020",,,"$50.00",,,,,,,,,,,,,
"SLEEPING BEAUTY","2008",,"GALLERY BOOKS","2011","STORY BOOK","2023","ENGLISH MEDIUM","NEW YORK","ESB 317",,,,,"STORY BOOK","2023",,,"$50.00",,,,,,,,,,,,,
"THE KIDS IN MS. COLMANS","2010",,"SCHOLASTIC","2011","STORY BOOK","2025","ENGLISH MEDIUM","NEW DELHI","ESB 319",,,,"ANN M MARTIN","STORY BOOK","2025",,,"$50.00",,,,,,,,,,,,,
"IF YOU GREW UP WITH GEORGE WASHINGTON",,,"SCHOLASTIC","2011","STORY BOOK","2026","ENGLISH MEDIUM",,"ESB 320",,,,"RUTH BELOV GROSS","STORY BOOK","2026",,,"$25.00",,,,,,,,,,,,,
"A BAD CASE OF STRIPES",,,"SCHOLASTIC","2011","STORY BOOK","2028","ENGLISH MEDIUM",,"ESB 322",,,,"DAVID SHANNON","STORY BOOK","2028",,,"$25.00",,,,,,,,,,,,,
"THE KIDS GUIDE TO RESEARCH","2010",,"SCHOLASTIC","2011","STORY BOOK","2029","ENGLISH MEDIUM","NEW DELHI","ESB 323",,,,"DEDORAH HEILIGMAN","STORY BOOK","2029",,,"$0.00",,,,,,,,,,,,,
"CAM JANSEN","2009",,"SCHOLASTIC","2010","STORY BOOK","2030","ENGLISH MEDIUM","NEW DELHI","ESB 325",,,,"SUSANNA WATTI","STORY BOOK","2030",,,"$50.00",,,,,,,,,,,,,
"DINOSAURS BEFORE DARK","2009",,"SCHOLASTIC","2010","STORY BOOK","2032","ENGLISH MEDIUM","NEW DELHI","ESB 326",,,,"SAL MURDOCCA","STORY BOOK","2032",,,"$50.00",,,,,,,,,,,,,
"ROOS BEST GZIFT",,,"GROLIER","2011","STORY BOOK","2033","ENGLISH MEDIUM",,"ESB 327",,,,"RONALD KIDD","STORY BOOK","2033",,,"$25.00",,,,,,,,,,,,,
"HANSON FOREVER","1998",,"SCHOLASTIC","2011","STORY BOOK","2034","ENGLISH MEDIUM","LONDON","ESB 328",,,,,"STORY BOOK","2034",,,"$25.00",,,,,,,,,,,,,
"HANSON FOREVER",,,"SCHOLASTIC","2011","STORY BOOK","2035","ENGLISH MEDIUM",,"ESB 329",,,,,"STORY BOOK","2035",,,"$25.00",,,,,,,,,,,,,
"HANSON FOREVER",,,"SCHOLASTIC","2011","STORY BOOK","2036","ENGLISH MEDIUM",,"ESB 330",,,,,"STORY BOOK","2036",,,"$25.00",,,,,,,,,,,,,
"SAM THE MINUTEMAN",,,"HARPER COLLIAM PUB INDIA","2011","STORY BOOK","2037","ENGLISH MEDIUM",,"ESB 331",,,,"NATHANIEL BENCHLEY","STORY BOOK","2037",,,"$25.00",,,,,,,,,,,,,
"THE TINY SEED","2006",,"SCHOLASTIC","2011","STORY BOOK","2039","ENGLISH MEDIUM",,"ESB 233",,,,"ERIC CARLE","STORY BOOK","2039",,,"$25.00",,,,,,,,,,,,,
"PIRATES PAST NOON","2009",,"SCHOLASTIC","2010","STORY BOOK","2040","ENGLISH MEDIUM","NEW DELHI","ESB 334",,,,"MARY POPS","STORY BOOK","2040",,,"$50.00",,,,,,,,,,,,,
"JILLIAN JIGGS AND THE GREAT BIG SNOW",,,"SCHOLASTIC","2011","STORY BOOK","2041","ENGLISH MEDIUM","CANADA","ESB 335",,,,"PHOEBE GILMAN","STORY BOOK","2041",,,"$25.00",,,,,,,,,,,,,
"GROWING TIME",,,"SANDPIPER","2011","STORY BOOK","2042","ENGLISH MEDIUM",,"ESB 336",,,,"LEONARD WEISY","STORY BOOK","2042",,,"$25.00",,,,,,,,,,,,,
"FABLES","1980",,"A HARPER TROPHY BOOK","2011","STORY BOOK","2043","ENGLISH MEDIUM","USA","ESB 337",,,,"ARNOLD LOBEL","STORY BOOK","2043",,,"$50.00",,,,,,,,,,,,,
"THE BEST INMS. ROONAJ","2009",,"A YEARLING BOOKS","2010","STORY BOOK","2045","ENGLISH MEDIUM",,"ESB 339",,,,"BLANCHE SIMS","STORY BOOK","2045",,,"$50.00",,,,,,,,,,,,,
"WINNIE THE POOHS A TO Z",,,"DISNEY","2011","STORY BOOK","2046","ENGLISH MEDIUM",,"ESB 340",,,,,"STORY BOOK","2046",,,"$25.00",,,,,,,,,,,,,
"COTTONTAIL AT CLOVER CRESCENT","1995",,"SMITHSONIANS BACKYARD","2011","STORY BOOK","2047","ENGLISH MEDIUM",,"ESB 341",,,,"ALLEN DAVIS","STORY BOOK","2047",,,"$25.00",,,,,,,,,,,,,
"JABBEREWOCKY AND OTHERS","2006",,"GOLDEN BOOK ","2011","STORY BOOK","2050","ENGLISH MEDIUM",,"ESB 344",,,,"JEAN CHANDLER","STORY BOOK","2050",,,"$25.00",,,,,,,,,,,,,
"THE CAT IN THE HAT","2003",,"RANDOM HOUSE","2011","STORY BOOK","2052","ENGLISH MEDIUM","NEW YORK","ESB 346",,,,"DR SEUSS","STORY BOOK","2052",,,"$25.00",,,,,,,,,,,,,
"PLEASE READ TH ME",,,"TROLL","2011","STORY BOOK","2053","ENGLISH MEDIUM",,"ESB 347",,,,"ELIZABETH RODGER","STORY BOOK","2053",,,"$25.00",,,,,,,,,,,,,
"PRINCE AND THE PAUPER",,,"GROLIER","2011","STORY BOOK","2055","ENGLISH MEDIUM",,"ESB 349",,,,,"STORY BOOK","2055",,,"$25.00",,,,,,,,,,,,,
