Title,Edition,ISBN,Publisher Name,Publishing Year,Serial Title,Call Number,Language,publishing place,Classification,Notes,Image,File Attach,Author,Subject,Item Start value,Specific Detail Info,Copies,Price,label,Supplier,Subtitle,Keyword,Book review,Standards,Frequency
CAUSATION DEBATE IN MODERN PHILOSOPHY 1637 TO 1739,,,ROUTLADGE,1999,,,ENGLISH,LONDON,122.09032,,,,CLATTERBAUGH K ; Author,"GEN,TITLE,",00092,,1,400,,UNIQUE BOOK STORE,,"GEN,TITLE,"
CREATING PUBLIC VALUE,,,HARVARD UNIVERSITY PRESS,1998,,,ENGLISH,CAMBRIDGE,353.0072,,,,MOORE M H ; Author,"GEN,TITLE,",00093,,1,395,,UNIQUE BOOK STORE,,"GEN,TITLE,"
INDIAN SOCIETY,,,HIMALAYA PUBLISHING HOUSE,2005,,,ENGLISH,MUMBAI ,301.054,,,,MURTHY C S V ; Author,"GEN,TITLE,",00094,,1,298,,UNIQUE BOOK STORE,,"GEN,TITLE,"
NORTON ANTHOLOGY OF AMERICAN LITERATURE,6,,W W NORTON AND COMPANY,1979,,,ENGLISH,NEW YORK,810.8,,,,BAYM N ; Author,"GEN,TITLE,",00095,,1,295,,UNIQUE BOOK STORE,,"GEN,TITLE,"
MYTH OF TOMORROW,,,TATA MCGRAW HILL,2003,,,ENGLISH,NEW DELHI,100,,,,BUFFONE G ; Author,"GEN,TITLE,",00096,,1,275,,UNIQUE BOOK STORE,,"GEN,TITLE,"
ESSAYS ON MEDIEVAL INDIAN HISTORY,,,OXFORD UNIVERSITY PRESS,2005,,,ENGLISH,NEW DELHI   ,954.02,,,,CHANDRA S ; Author,"GEN,",00097,,1,295,,UNIQUE BOOK STORE,,"GEN,"
ZIKR I MIR: AUTOBIOGRAPHY OF MUGHAL POET MIR,,,OXFORD UNIVERSITY PRESS,2002,,,ENGLISH,NEW DELHI   ,920.21,,,,MIR ; Author,"GEN,TITLE,",00098,,1,175,,UNIQUE BOOK STORE,,"GEN,TITLE,"
MANSFIELD PARK,1,,W W NORTON AND COMPANY,1998,,,ENGLISH,NEW YORK,823.7,,,,JANE A ; Author,"GEN,TITLE,",00099,,1,195,,UNIQUE BOOK STORE,,"GEN,TITLE,"
FUNDAMENTALS OF WIRELESS COMMUNICATION,,,CAMBRIDGE UNIVERSITY PRESS,2006,,,ENGLISH,CAMBRIDGE,621.384,,,,TSE D ; Author  VISHWANATH P ; Author,"EC,TITLE,",00100,,1,495,,UNIQUE BOOK STORE,,"EC,TITLE,"
HIGH SCHOOL ENGLISH GRAMMAR AND COMPOSITION,,,S CHAND & COMPANY LTD,2006,,,ENGLISH,NEW DELHI,428.2,,,,WREN ; Author  MARTIN ; Author,"GEN,TITLE,",00101,,1,105,,UNIQUE BOOK STORE,,"GEN,TITLE,"
