Title,Edition,ISBN,Publisher Name,Publishing Year,Serial Title,Call Number,Language,publishing place,Classification,Notes,Image,File Attach,Author,Subject,Item Start value,Specific Detail Info,Copies,Price,label,Supplier,Subtitle,Keyword,Book review,Standards,Frequency
Encyclopedia Of Flags Israel To Melta,,0-7166-7900-0,Scholastic Inc.,2007,The World Book Encyclopedia,A000040,English,Chicago,30,,,,,Encyclopedia,A000040,,,1810,,Indigo Direct Marketing Ltd,,,,,
Encyclopedia Of Flags Marshall To Island,,0-7166-7900-0,Scholastic Inc.,2007,The World Encyclopedia,A000041,English,Chicago,30,,,,,Encyclopedia,A000041,,,1810,,Indigo Direct Marketing Ltd,,,,,
EncycloPedia of Flags Pakistsn To Sarbia,,0-7166-7900-0,Scholastic Inc.,2007,The World Book Encyclopedia,A000042,English,Chicago,30,,,,,Encyclopedia,A000042,,,1810,,Indigo Direct Marketing Ltd,,,,,
Encyclopedia Of Flags Seychelles To Uganda,,0-7166-7900-0,Scholastic Inc.,2007,The World Book Encyclopedia,A000043,English,Chicago,30,,,,,Encyclopedia,A000043,,,1810,,Indigo Direct Marketing Ltd,,,,,
Encyclopedia Of Flags Ukrain To Uk,,0-7166-7900-0,Scholastic Inc.,2007,The World Book of Knowledge,A000044,English,Chicago,30,,,,,Encyclopedia,A000044,,,1810,,Indigo Direct Marketing Ltd,,,,,
Encyclopedia Of Flags United State To Uss,,0-7166-7900-0,Scholastic Inc.,2007,The world book of knowledge,A000045,English,Chicago,30,,,,,Encyclopedia,A000045,,,1810,,Indigo Direct Marketing Ltd,,,,,
Us Ter Histo. And Uruguary To Zimbabwe,,0-7166-7900-0,Scholastic Inc.,2007,The world book of knowledge,A000046,English,Chicago,30,,,,,Encyclopedia,A000046,,,1810,,Indigo Direct Marketing Ltd,,,,,
Intr. Org. Regiens Index,,0-7166-7900-0,World Book Inc. A Scott fetzer Compony,2007,The World Book Encyclopedia,A000047,English,Chicago,30,,,,,Encyclopedia,A000047,,,1810,,Indigo Direct Marketing Ltd,,,,,
People and Places Afghanistan To Czech Republic ,,0-7166-3755-3,World Book Inc. A Scott fetzer Compony,2007,Encyclopedia Of People and Places,A000048,English,Chicago,910.3,,,,,Encyclopedia,A000048,,,2577,,Indigo Direct Marketing Ltd,,,,,
Peaple and Places Denmark To Hungary,,0-7166-3755-3,World Book Inc. A Scott fetzer Compony,2007,Encyclopedia Of People and Places,A000049,English,Chicago,910.3,,,,,Encyclopedia,A000049,,,2577,,Indigo Direct Marketing Ltd,,,,,
Peaple and Places Iceland To Luxembourg,,0-7166-3755-3,World Book Inc. A Scott fetzer Compony,2007,Encyclopedia Of People and Places,A000050,English,Chicago,910.3,,,,,Encyclopedia,A000050,,,2577,,Indigo Direct Marketing Ltd,,,,,
Peaple and Places Macedonia To Rwanda,,0-7166-3755-3,World Book Inc. A Scott fetzer Compony,2007,Encyclopedia Of People and Places,A000051,English,Chicago,910.3,,,,,Encyclopedia,A000051,,,2577,,Indigo Direct Marketing Ltd,,,,,
Peaple and Places Saint Kitts and Nevis To Tuvala,,0-7166-3755-3,World Book Inc. A Scott fetzer Compony,2007,Encyclopedia Of People and Places,A000052,English,Chicago,910.3,,,,,Encyclopedia,A000052,,,2577,,Indigo Direct Marketing Ltd,,,,,
People And Places Uganda To Zimbabwe/ Index,,0-7166-3755-3,World Book Inc. A Scott fetzer Compony,2007,Encyclopedia Of People and Places,A000053,English,Chicago,910.3,,,,,Encyclopedia,A000053,,,2577,,Indigo Direct Marketing Ltd,,,,,
Student Discovery Science Encyclopedioa A,,0-7166-7500-5,World Book Inc. A Scott fetzer Compony,2007,Student Discovery Science Encyclopedioa,A000054,English,Chicago,30,,,,,Encyclopedia,A000054,,,1670,,Indigo Direct Marketing Ltd,,,,,
Student Discovery Science Encyclopedia B,,0-7166-7500-5,World Book Inc. A Scott fetzer Compony,2007,Student Discovery Science Encyclopedioa,A000055,English,Chicago,30,,,,,Encyclopedia,A000055,,,1670,,Indigo Direct Marketing Ltd,,,,,
Student Discovery Science Encyclopedia C,,0-7166-7500-5,World Book Inc. A Scott fetzer Compony,2007,Student Discovery Science Encyclopedioa,A000056,English,Chicago,30,,,,,Encyclopedia,A000056,,,1670,,Indigo Direct Marketing Ltd,,,,,
Student Discovery Science Encyclopedia D-E-F,,0-7166-7500-5,World Book Inc. A Scott fetzer Compony,2007,Student Discovery Science Encyclopedioa,A000057,English,Chicago,30,,,,,Encyclopedia,A000057,,,1670,,Indigo Direct Marketing Ltd,,,,,
Student Discovery Science Encyclopedia G-H.,,0-7166-7500-5,World Book Inc. A Scott fetzer Compony,2007,Student Discovery Science Encyclopedioa,A000058,English,Chicago,30,,,,,Encyclopedia,A000058,,,1670,,Indigo Direct Marketing Ltd,,,,,
Student Discovery Science Encyclopedia I-J-K-L,,0-7166-7500-5,World Book Inc. A Scott fetzer Compony,2007,Student Discovery Science Encyclopedioa,A000059,English,Chicago,30,,,,,Encyclopedia,A000059,,,1670,,Indigo Direct Marketing Ltd,,,,,
Student Discovery Science Encyclopedia M,,0-7166-7500-5,World Book Inc. A Scott fetzer Compony,2007,Student Discovery Science Encyclopedia,A000060,English,Chicago,30,,,,,Encyclopedia,A000060,,,1670,,Indigo Direct Marketing Ltd,,,,,
Student Discovery Science Encyclopedia N-O,,0-7166-7500-5,World Book Inc. A Scott fetzer Compony,2007,Student Discovery Science Encyclopedia,A000061,English,Chicago,30,,,,,Encyclopedia,A000061,,,1670,,Indigo Direct Marketing Ltd,,,,,
Student Discovery Science Encyclopedia P-Q-R,,0-7166-7500-5,World Book Inc. A Scott fetzer Compony,2007,Student Discovery Science Encyclopedia,A000062,English,Chicago,30,,,,,Encyclopedia,A000062,,,1670,,Indigo Direct Marketing Ltd,,,,,
Student Discovery Science Encyclopedia S,,0-7166-7500-5,World Book Inc. A Scott fetzer Compony,2007,Student Discovery Science Encyclopedia,A000063,English,Chicago,30,,,,,Encyclopedia,A000063,,,1670,,Indigo Direct Marketing Ltd,,,,,
Student Discovery Science Encyclopedia T-U,,0-7166-7500-5,World Book Inc. A Scott fetzer Compony,2007,Student Discovery Science Encyclopedia,A000064,English,Chicago,30,,,,,Encyclopedia,A000064,,,1670,,Indigo Direct Marketing Ltd,,,,,
Student Discovery Science Encyclopedia V-W-X-Y-Z,,0-7166-7500-5,World Book Inc. A Scott fetzer Compony,2007,Student Discovery Science Encyclopedia,A000065,English,Chicago,30,,,,,Encyclopedia,A000065,,,1670,,Indigo Direct Marketing Ltd,,,,,
Student Discovery Science Encyclopedia Guide Index,,0-7166-7500-5,World Book Inc. A Scott fetzer Compony,2007,Student Discovery Science Encyclopedia,A000066,English,Chicago,30,,,,,Encyclopedia,A000066,,,1670,,Indigo Direct Marketing Ltd,,,,,
Encyclopedia of Science Astronomy,,,World Book Inc. A Scott fetzer Compony,2007,Encyclopedia of Science ,A000067,English,Chicago,30,,,,,Encyclopedia,A000067,,,1660,,Indigo Direct Marketing Ltd,,,,,
Encyclopedia Of Science Physics,,,World Book Inc. A Scott fetzer Compony,2007,Encyclopedia of Science ,A000068,English,Chicago,30,,,,,Encyclopedia,A000068,,,1660,,Indigo Direct Marketing Ltd,,,,,
Encyclopedia Of Science Chemistry,,,World Book Inc. A Scott fetzer Compony,2007,Encyclopedia of Science ,A000069,English,Chicago,30,,,,,Encyclopedia,A000069,,,1660,,Indigo Direct Marketing Ltd,,,,,
