_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps
976056,163732,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2272"",""name"":""Hobbies and Activities"",""short_name"":""Hobbies and Activities"",""stId"":""2272""}",374471,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mind Body and Soul"",""subId"":""4050"",""standard_id"":""2272""}"
976057,163732,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2272"",""name"":""Hobbies and Activities"",""short_name"":""Hobbies and Activities"",""stId"":""2272""}",374472,Subject,"{""sub_institute_id"":""1"",""display_name"":""Observation"",""subId"":""4051"",""standard_id"":""2272""}"
976058,163732,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2272"",""name"":""Hobbies and Activities"",""short_name"":""Hobbies and Activities"",""stId"":""2272""}",374473,Subject,"{""sub_institute_id"":""1"",""display_name"":""Social & Civic Activities"",""subId"":""4058"",""standard_id"":""2272""}"
976059,163733,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2273"",""name"":""Library"",""short_name"":""Library"",""stId"":""2273""}",374474,Subject,"{""sub_institute_id"":""1"",""display_name"":""Age wise"",""subId"":""4025"",""standard_id"":""2273""}"
976060,163733,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2273"",""name"":""Library"",""short_name"":""Library"",""stId"":""2273""}",374475,Subject,"{""sub_institute_id"":""1"",""display_name"":""Audiobooks"",""subId"":""4028"",""standard_id"":""2273""}"
976061,163733,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2273"",""name"":""Library"",""short_name"":""Library"",""stId"":""2273""}",374476,Subject,"{""sub_institute_id"":""1"",""display_name"":""Database & Journal"",""subId"":""4033"",""standard_id"":""2273""}"
976062,163733,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2273"",""name"":""Library"",""short_name"":""Library"",""stId"":""2273""}",374477,Subject,"{""sub_institute_id"":""1"",""display_name"":""E-books"",""subId"":""4034"",""standard_id"":""2273""}"
976063,163733,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2273"",""name"":""Library"",""short_name"":""Library"",""stId"":""2273""}",374478,Subject,"{""sub_institute_id"":""1"",""display_name"":""Other Resource"",""subId"":""4053"",""standard_id"":""2273""}"
976064,163733,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2273"",""name"":""Library"",""short_name"":""Library"",""stId"":""2273""}",374479,Subject,"{""sub_institute_id"":""1"",""display_name"":""Quick links"",""subId"":""4056"",""standard_id"":""2273""}"
976065,163733,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2273"",""name"":""Library"",""short_name"":""Library"",""stId"":""2273""}",374480,Subject,"{""sub_institute_id"":""1"",""display_name"":""Reference Resource"",""subId"":""4057"",""standard_id"":""2273""}"
976066,163733,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2273"",""name"":""Library"",""short_name"":""Library"",""stId"":""2273""}",374481,Subject,"{""sub_institute_id"":""1"",""display_name"":""Subject wise"",""subId"":""4059"",""standard_id"":""2273""}"
976067,163729,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2269"",""name"":""Soft Skill"",""short_name"":""Soft Skill"",""stId"":""2269""}",374482,Subject,"{""sub_institute_id"":""1"",""display_name"":""21st Century skill"",""subId"":""4023"",""standard_id"":""2269""}"
976068,163729,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2269"",""name"":""Soft Skill"",""short_name"":""Soft Skill"",""stId"":""2269""}",374483,Subject,"{""sub_institute_id"":""1"",""display_name"":""Academic skill"",""subId"":""4024"",""standard_id"":""2269""}"
976069,163729,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2269"",""name"":""Soft Skill"",""short_name"":""Soft Skill"",""stId"":""2269""}",374484,Subject,"{""sub_institute_id"":""1"",""display_name"":""Behavior & Attitudes"",""subId"":""4029"",""standard_id"":""2269""}"
976070,163729,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2269"",""name"":""Soft Skill"",""short_name"":""Soft Skill"",""stId"":""2269""}",374485,Subject,"{""sub_institute_id"":""1"",""display_name"":""IT & Computer"",""subId"":""4046"",""standard_id"":""2269""}"
976071,163729,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2269"",""name"":""Soft Skill"",""short_name"":""Soft Skill"",""stId"":""2269""}",374486,Subject,"{""sub_institute_id"":""1"",""display_name"":""Learning to Learn"",""subId"":""4047"",""standard_id"":""2269""}"
976072,163729,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2269"",""name"":""Soft Skill"",""short_name"":""Soft Skill"",""stId"":""2269""}",374487,Subject,"{""sub_institute_id"":""1"",""display_name"":""Life Skill"",""subId"":""4048"",""standard_id"":""2269""}"
976073,163729,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2269"",""name"":""Soft Skill"",""short_name"":""Soft Skill"",""stId"":""2269""}",374488,Subject,"{""sub_institute_id"":""1"",""display_name"":""Values and Morals"",""subId"":""4062"",""standard_id"":""2269""}"
976074,163730,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2270"",""name"":""Sports"",""short_name"":""Sports"",""stId"":""2270""}",374489,Subject,"{""sub_institute_id"":""1"",""display_name"":""Brain game"",""subId"":""4030"",""standard_id"":""2270""}"
976075,163730,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2270"",""name"":""Sports"",""short_name"":""Sports"",""stId"":""2270""}",374490,Subject,"{""sub_institute_id"":""1"",""display_name"":""Extreme Sports"",""subId"":""4039"",""standard_id"":""2270""}"
976076,163730,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2270"",""name"":""Sports"",""short_name"":""Sports"",""stId"":""2270""}",374491,Subject,"{""sub_institute_id"":""1"",""display_name"":""Individual Sports"",""subId"":""4042"",""standard_id"":""2270""}"
976077,163730,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2270"",""name"":""Sports"",""short_name"":""Sports"",""stId"":""2270""}",374492,Subject,"{""sub_institute_id"":""1"",""display_name"":""Indoor game"",""subId"":""4043"",""standard_id"":""2270""}"
976078,163730,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2270"",""name"":""Sports"",""short_name"":""Sports"",""stId"":""2270""}",374493,Subject,"{""sub_institute_id"":""1"",""display_name"":""Olympic game"",""subId"":""4052"",""standard_id"":""2270""}"
976079,163730,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2270"",""name"":""Sports"",""short_name"":""Sports"",""stId"":""2270""}",374494,Subject,"{""sub_institute_id"":""1"",""display_name"":""Outdoor game"",""subId"":""4054"",""standard_id"":""2270""}"
976080,163730,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2270"",""name"":""Sports"",""short_name"":""Sports"",""stId"":""2270""}",374495,Subject,"{""sub_institute_id"":""1"",""display_name"":""Partner Sports"",""subId"":""4055"",""standard_id"":""2270""}"
