_neo4jInternalId,chapter_id,lessonId,lesson_title,standard_id,sub_institute_id,subject_id,teacher_id
375139,6238,484,,43,1,4469,
375140,980,485,,43,1,4469,
375141,6240,486,,43,1,4469,
375142,6241,487,,43,1,4469,
375143,6242,488,,43,1,4469,
375144,6243,489,,43,1,4470,
375145,6244,490,,43,1,4470,
375146,6245,491,,43,1,4470,
375147,6246,492,,43,1,4470,
375148,6247,493,,43,1,4470,
375149,6243,494,,43,1,4470,
375150,6244,495,,43,1,4470,
375151,6245,496,,43,1,4470,
375152,6246,497,,43,1,4470,
375153,6247,498,,43,1,4470,
375154,997,499,,43,1,3976,
375155,935,500,,43,1,3976,
375156,999,501,,43,1,3976,
375157,1000,502,,43,1,3976,
375158,1001,503,,43,1,3976,
375159,1002,504,,43,1,3976,
375160,936,505,,43,1,3976,
375161,1004,506,,43,1,3976,
375162,1005,507,,43,1,3976,
375163,943,508,,43,1,3976,
375164,944,509,,43,1,3976,
375165,1008,510,,43,1,3976,
375166,946,511,,43,1,3976,
375167,947,512,,43,1,3976,
375168,948,513,,43,1,3976,
375169,1012,514,,43,1,3975,
375170,117,515,,43,1,3975,
375171,1014,516,,43,1,3975,
375172,1015,517,,43,1,3975,
375173,1016,518,,43,1,3975,
375174,1017,519,,43,1,3975,
375175,1018,520,,43,1,3975,
375176,1019,521,,43,1,3975,
375177,1020,522,,43,1,3975,
375178,1021,523,,43,1,3975,
375179,1022,524,,43,1,3975,
375180,1023,525,,43,1,3975,
375181,1024,526,,43,1,3975,
375182,1025,527,,43,1,3975,
375183,1026,528,,43,1,3975,
375184,1027,529,,43,1,3975,
375185,5681,530,,44,1,4482,
375186,5680,531,,44,1,4482,
375187,5679,532,,44,1,4482,
375188,5669,533,,44,1,4482,
375189,5678,534,,44,1,4482,
375190,5677,535,,44,1,4482,
375191,5676,536,,44,1,4482,
375192,5675,537,,44,1,4482,
375193,5674,538,,44,1,4482,
375194,5673,539,,44,1,4482,
375195,5672,540,,44,1,4482,
375196,5671,541,,44,1,4482,
375197,5670,542,,44,1,4482,
375198,6148,543,,44,1,4106,
375199,6149,544,,44,1,4106,
375200,6150,545,,44,1,4106,
375201,6151,546,,44,1,4106,
375202,6152,547,,44,1,4106,
375203,6153,548,,44,1,4106,
375204,6154,549,,44,1,4106,
375205,6155,550,,44,1,4106,
375206,6156,551,,44,1,4106,
375207,6157,552,,44,1,4106,
375208,6158,553,,44,1,4106,
375209,6159,554,,44,1,4106,
375210,6160,555,,44,1,4106,
375211,6161,556,,44,1,4106,
375212,6162,557,,44,1,4106,
375213,6163,558,,44,1,4106,
375214,6164,559,,44,1,4106,
375215,6165,560,,44,1,4106,
375216,6166,561,,44,1,4106,
375217,6167,562,,44,1,4106,
375218,6168,563,,44,1,4106,
375219,6169,564,,44,1,4106,
375220,5710,565,,44,1,4483,
375221,5709,566,,44,1,4483,
375222,5706,567,,44,1,4483,
