_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps,database_type
979476,197363,Result,"{""question_paper_id"":""1388"",""student_id"":""97382"",""resultId"":""21681""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979477,197901,Result,"{""question_paper_id"":""1388"",""student_id"":""97926"",""resultId"":""22240""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979478,197902,Result,"{""question_paper_id"":""1388"",""student_id"":""97926"",""resultId"":""22241""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979479,197903,Result,"{""question_paper_id"":""1388"",""student_id"":""97926"",""resultId"":""22242""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979480,197904,Result,"{""question_paper_id"":""1388"",""student_id"":""97926"",""resultId"":""22243""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979481,197910,Result,"{""question_paper_id"":""1388"",""student_id"":""97926"",""resultId"":""22249""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979482,197911,Result,"{""question_paper_id"":""1388"",""student_id"":""97926"",""resultId"":""22250""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979483,198619,Result,"{""question_paper_id"":""1388"",""student_id"":""97926"",""resultId"":""22982""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979484,198668,Result,"{""question_paper_id"":""1388"",""student_id"":""97926"",""resultId"":""23031""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979485,198669,Result,"{""question_paper_id"":""1388"",""student_id"":""97926"",""resultId"":""23032""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
